;Metadaten;;;;;;;Bewertungsteil;;;;;
20;http://www.zeit.de/2006/37/Strom/komplettansicht?print=true;2006;37;Zeit;Wer das Netz hat, hat die Macht;Fritz Vorholz;8;Vergangenheit;EU, Großbritannien, Skandinavien;-;entflochtenes Eigentumsrecht-Stromnetz, börsennotiertes Unternehmen-National-Grid, getrennte Erzeugung-Netz-Skandinavien, steigend-ermöglichter Wettbewerb;2;
20;http://www.zeit.de/2006/37/Strom/komplettansicht?print=true;2006;37;Zeit;Wer das Netz hat, hat die Macht;Fritz Vorholz;9;Gegenwart;Deutschland, USA;-;fragliche Trennung, sinkende Rendite-Vorschlag-Leprich, konsequente Regulierung-Leprich, freiwilliger Rückzug-Großstromerzeuger, mögliche Hybridlösung-Hirschhausen, unabhängiger Betreiber;1;
21;http://www.zeit.de/2006/40/Auswanderung-D/komplettansicht?print=true;2006;40;Zeit;Republik-Flucht;Thomas Fischermann;1;Gegenwart;Deutschland, Österreich, Frankreich, Slowenien, Europa;Kiel;ausländische Jobchancen, helfendes Arbeitsamt, Vermittlung;-1;hier kommt die -1 aus der unter-Überschrift, nicht aus dem Text: “oft gehen die besten”
21;http://www.zeit.de/2006/40/Auswanderung-D/komplettansicht?print=true;2006;40;Zeit;Republik-Flucht;Thomas Fischermann;2;Gegenwart;Deutschland, Slowenien, Dänemark;Kiel;ausländische Stellenanzeigen, kein-großer Ansturm, interessante Karrierechancen;0;
21;http://www.zeit.de/2006/40/Auswanderung-D/komplettansicht?print=true;2006;40;Zeit;Republik-Flucht;Thomas Fischermann;3;Gegenwart;Deutschland, Großbritannien;Kiel;unbezahlte Architektin, bewegtes Großbritannien, Auslands-Wunsch;0;
21;http://www.zeit.de/2006/40/Auswanderung-D/komplettansicht?print=true;2006;40;Zeit;Republik-Flucht;Thomas Fischermann;4;Gegenwart, Zukunft;Deutschland;-;steigender Druck, niedriges Arbeitslosengeld-II, steigende Auswanderer-Zahlen, internationale Jobmessen, angebotene Beratungs-Möglichkeit-Arbeitsämter-Varnhagen-Vorschlag;-1;
21;http://www.zeit.de/2006/40/Auswanderung-D/komplettansicht?print=true;2006;40;Zeit;Republik-Flucht;Thomas Fischermann;5;Gegenwart, Vergangenheit;Deutschland;Heidelberg;dürftige Wanderungsstatistik, unpräzise Wanderungsstatistik, Auswanderer-Nettoverlust, ;-1;
21;http://www.zeit.de/2006/40/Auswanderung-D/komplettansicht?print=true;2006;40;Zeit;Republik-Flucht;Thomas Fischermann;6;Gegenwart;Deutschland;-;schrumpfende Gesamtbevölkerung, deutscher Nettoabfluss, zuwandernde Ausländer;-1;
21;http://www.zeit.de/2006/40/Auswanderung-D/komplettansicht?print=true;2006;40;Zeit;Republik-Flucht;Thomas Fischermann;7;Gegenwart, Vergangenheit;Deutschland;-;höchste Auswandererzahlen, schleichende Wanderungsbewegung, möglich-schnelle-positive Rückmeldung-Simone-Eick, mögliche Kettenwanderung-Simone-Eick;0;ich habe schwierigkeiten bei der Bewerbung. Das hängt sehr davon ab ob Auswanderung jetzt schlecht ist. Beim Autor schwingt eine melancholische Note mit, aber er berichtet sehr (!) sachlich...
21;http://www.zeit.de/2006/40/Auswanderung-D/komplettansicht?print=true;2006;40;Zeit;Republik-Flucht;Thomas Fischermann;8;Gegenwart;Deutschland;-;moderne Massenmedien, werdendes Modethema-Auswanderung, entstandene Beratungsforen-Fülle, steigende Auswanderungswillige-Zahlen ;0;
21;http://www.zeit.de/2006/40/Auswanderung-D/komplettansicht?print=true;2006;40;Zeit;Republik-Flucht;Thomas Fischermann;9;Gegenwart;Deutschland;-;Teilerklärung-Arbeitslosigkeit, junge Auswanderer, motivierte Auswanderer, aktive Auswanderer, steigend Aktiven-Abwanderung;-2;
21;http://www.zeit.de/2006/40/Auswanderung-D/komplettansicht?print=true;2006;40;Zeit;Republik-Flucht;Thomas Fischermann;10;Gegenwart, Zukunft;Deutschland, Österreich, Schweiz, USA, Neuseeland, Australien, Irland, Großbritannien;-;unsicher Rückkehr, ausgeglichen Gesellschafts-Schichten, ausgeglichen Berufsgruppen, nicht-festgelegte Auswanderer, unpräzise Statistik;-1;
21;http://www.zeit.de/2006/40/Auswanderung-D/komplettansicht?print=true;2006;40;Zeit;Republik-Flucht;Thomas Fischermann;11;Gegenwart, Zukunft;Deutschland, Spanien, Norwegen, Großbritannien;-;viele Auswanderungs-Gründe-Christina-Bausch, steigender Abwanderer-Ansturm, private Gründe, kinderfreundliche Norweger, tolerante Briten, spanische Sonne, neues Leben;-1;
21;http://www.zeit.de/2006/40/Auswanderung-D/komplettansicht?print=true;2006;40;Zeit;Republik-Flucht;Thomas Fischermann;12;Gegenwart;Deutschland, Spanien;-;niedrige Arbeitsqualität-Deutschland, niedriger Respekt-Deutschland;-3;
21;http://www.zeit.de/2006/40/Auswanderung-D/komplettansicht?print=true;2006;40;Zeit;Republik-Flucht;Thomas Fischermann;13;Gegenwart;Deutschland;-;demografisch-unrelevante Abwanderungswelle, wenige Jung-Kräfte, zunehmend Vergreisung;-1;
21;http://www.zeit.de/2006/40/Auswanderung-D/komplettansicht?print=true;2006;40;Zeit;Republik-Flucht;Thomas Fischermann;14;Gegenwart;Deutschland;-;knappe-spezialisierte Kräfte, spezialisiert Handwerker, spezialisiert Fachärzte, spezialisierte Akademiker, einfallsreiche Unternehmer, besorgniserregende Abwanderung;-1;
21;http://www.zeit.de/2006/40/Auswanderung-D/komplettansicht?print=true;2006;40;Zeit;Republik-Flucht;Thomas Fischermann;15;Gegenwart;Deutschland;-;möglich Rückkehr-Monika-Varnhagen-Zentralstelle-für-Arbeitsvermittlung-ZAV, möglich-aussichtsreichere Karrieren, wirtschaftliche Vorteile, entlastete Arbeitslosenversicherung, unsicher;1;
22;http://www.zeit.de/2006/42/EADS-Airbus/komplettansicht?print=true;2006;42;Zeit;Der Vogel fliegt nicht;Clas Pieper;1;Gegenwart, Vergangenheit;Deutschland, Frankreich;-;langer Rückstand-Airbus, unverblümter Angriff, anhaltend Krise-Airbus, verantwortlicher Vorgänger-Christian-Steiff, nötig-klare Entscheidungsstruktur;-2;
22;http://www.zeit.de/2006/42/EADS-Airbus/komplettansicht?print=true;2006;42;Zeit;Der Vogel fliegt nicht;Clas Pieper;2;Vergangenheit;Deutschland, Frankreich;-;eingereichtes Rücktrittsgesuch, notwendiger Umbau-Christian-Steiff, schleppende Sanierung-Christian-Steiff, Vermächtnis;-2;
22;http://www.zeit.de/2006/42/EADS-Airbus/komplettansicht?print=true;2006;42;Zeit;Der Vogel fliegt nicht;Clas Pieper;3;Gegenwart, Vergangenheit;Deutschland, Frankreich;-;spektakulärer Rückzug-Christian-Streiff, weitgehende Neuordnung-Airbus, zunehmend Management-Konflikte;-1;
22;http://www.zeit.de/2006/42/EADS-Airbus/komplettansicht?print=true;2006;42;Zeit;Der Vogel fliegt nicht;Clas Pieper;4;Gegenwart, Zukunft;Deutschland, Frankreich;-;politische Entscheidungen, übergewichtiges Frankreich, anhaltend-paritätische Aufteilung, diskutierende Bundesregierung, möglich Beteiligung-Deutschland;-1;
22;http://www.zeit.de/2006/42/EADS-Airbus/komplettansicht?print=true;2006;42;Zeit;Der Vogel fliegt nicht;Clas Pieper;5;Vergangenheit;Deutschland, Frankreich;-;jahrelange Erfolgsmeldungen, peinliches Eingeständnis, verspätete Auslieferung-A380;-1;
22;http://www.zeit.de/2006/42/EADS-Airbus/komplettansicht?print=true;2006;42;Zeit;Der Vogel fliegt nicht;Clas Pieper;6;Gegenwart;Europa;Hamburg;unsichere Jobs, bange Angestellte, stockende Montagege, geplante Auslieferung-Hamburg;-2;
22;http://www.zeit.de/2006/42/EADS-Airbus/komplettansicht?print=true;2006;42;Zeit;Der Vogel fliegt nicht;Clas Pieper;7;Vergangenheit, Gegenwart;Deutschland, Frankreich;-;voraussehbare Probleme,  bekannte Probleme-Führungskräfte, aufmerksames-mittleres Management, enthobene Position-mittlere-Führungskräfte, andere-wahre Auslöser-Mitarbeiterzeitschrift-Einblick;-2;
22;http://www.zeit.de/2006/42/EADS-Airbus/komplettansicht?print=true;2006;42;Zeit;Der Vogel fliegt nicht;Clas Pieper;8;Vergangenheit, Gegenwart;Deutschland, Frankreich;-;heilloses Durcheinander, aufeinanderjagende Berichte, zerschlagene Strukturen, unklare Strukturen, unübersichtliche Organisationen, länderübergreifende Organisationen, erteilte Maulkörbe;-3;
22;http://www.zeit.de/2006/42/EADS-Airbus/komplettansicht?print=true;2006;42;Zeit;Der Vogel fliegt nicht;Clas Pieper;9;Vergangenheit, Gegenwart;Deutschland, Frankreich;-;aufdrängender Vergleich-Toll-Collect, immenser Zeitdruck, spät-erkannter Fehlschlag, verschwiegener Fehlschlag, offensichtliche Blamage;-2;
22;http://www.zeit.de/2006/42/EADS-Airbus/komplettansicht?print=true;2006;42;Zeit;Der Vogel fliegt nicht;Clas Pieper;10;Vergangenheit, Gegenwart;Deutschland, Frankreich;Hamburg;wilde Akquirierung, akzeptierte Wünsche, gewaltige Verkabelung-Anforderungen, überforderte Bordelektronik-Spezialisten, verschiedene Flieger;-2;
22;http://www.zeit.de/2006/42/EADS-Airbus/komplettansicht?print=true;2006;42;Zeit;Der Vogel fliegt nicht;Clas Pieper;11;Vergangenheit, Gegenwart;Deutschland, Frankreich;Hamburg;unterschiedliche Produktionsstandorte-Problem, schlechte Abstimmung, nicht-harmonierende Software, angeblich-unfähige Hamburger, angeblich-schlecht-zuarbeitetende Franzosen;-3;
22;http://www.zeit.de/2006/42/EADS-Airbus/komplettansicht?print=true;2006;42;Zeit;Der Vogel fliegt nicht;Clas Pieper;12;Gegenwart, Zukunft, Vergangenheit;Deutschland, Frankreich;-;milliardenteures Chaos, frustrierte A380-Besteller, möglich-annullierte Optionen, festgehaltener Sparkurs-Louis-Gallois;-2;
22;http://www.zeit.de/2006/42/EADS-Airbus/komplettansicht?print=true;2006;42;Zeit;Der Vogel fliegt nicht;Clas Pieper;13;Zukunft;Deutschland, Frankreich;Hamburg;geplant-sinkende Kosten, schmerzliche Veränderungen, möglich-verlorene Arbeitsplätze, abgetretener Bau-Hamburg;-3;
22;http://www.zeit.de/2006/42/EADS-Airbus/komplettansicht?print=true;2006;42;Zeit;Der Vogel fliegt nicht;Clas Pieper;14;Gegenwart;Deutschland;Berlin;schwere Management-Fehler, Desaster, verpasstes Fachstum-Führungsebene-Thomas-Mirow, strukturelle Defizite;-3;
22;http://www.zeit.de/2006/42/EADS-Airbus/komplettansicht?print=true;2006;42;Zeit;Der Vogel fliegt nicht;Clas Pieper;15;Gegenwart;Deutschland;-;teures Abenteuer, rätselhafte Kosten, staatliche Milliarde-Darlehen, zurückgezahlte Darlehen, spendable Bundesregierung, hochqualifiziert Arbeitsplätze-Sicherung-Bundesregierung;-2;
22;http://www.zeit.de/2006/42/EADS-Airbus/komplettansicht?print=true;2006;42;Zeit;Der Vogel fliegt nicht;Clas Pieper;16;Gegenwart;Deutschland, Welt, USA;Köln;gezielte Industriepolitik, industriepolitische Sirenenklänge-Rainer-Brüderle, erfolgreicher Staat-Juergen-B.-Donges, orthodoxer Marktwissenschaftler-Juergen-B.-Donges, feindliche-amerikanische Hersteller, möglich-desaströses Monopolpreis-Desaster;0;
22;http://www.zeit.de/2006/42/EADS-Airbus/komplettansicht?print=true;2006;42;Zeit;Der Vogel fliegt nicht;Clas Pieper;17;Gegenwart;Deutschland, Frankreich;München;industriepolitische Ambitionen-Frankreich, industriepolitische Angst-Deutschland, interventionistische Franzosen, marktnaher Ökonom-Hans-Werner-Sinn, selbstbewusster Ökonom-Hans-Werner-Sinn, einverleibendes Frankreich, schützender Wirtschaftspatriotismus;-1;
22;http://www.zeit.de/2006/42/EADS-Airbus/komplettansicht?print=true;2006;42;Zeit;Der Vogel fliegt nicht;Clas Pieper;18;Gegenwart;Deutschland, Frankreich;-;einflussreiches Frankreich, defensives Deutschland, defensive Debatte, französische Dominanz-Thomas-Mirow, nötige Taten-Rainer-Wend, nötiger Eingriff-Franz-Josef-Jung;-2;
22;http://www.zeit.de/2006/42/EADS-Airbus/komplettansicht?print=true;2006;42;Zeit;Der Vogel fliegt nicht;Clas Pieper;19;Gegenwart, Zukunft;Deutschland, Frankreich, Russland, Spanien;-;anbietende Beteiligung-EADS-Deutschland, möglicher Aktienkauf-KfW, private Aktionäre;0;
22;http://www.zeit.de/2006/42/EADS-Airbus/komplettansicht?print=true;2006;42;Zeit;Der Vogel fliegt nicht;Clas Pieper;20;Gegenwart;Deutschland;-;unklare Bundesregierung-Meinung-Engagement, Erwerb-Finanzministerium, Zurückhaltung-Wirtschaftsministerium, stärkerer Auftritt-Kapitalmenge, wichtige Kapitalstruktur-Mirow;0;
22;http://www.zeit.de/2006/42/EADS-Airbus/komplettansicht?print=true;2006;42;Zeit;Der Vogel fliegt nicht;Clas Pieper;21;Gegenwart, Zukunft;Deutschland;-;gewährleistete Augenhöhe-Joachim-Wuermeling, zurückzudrängender Staatseinfluss-Joachim-Wuermeling, kurzfristiges Engagement-Deutschland-Joachim-Wuermeling, besser-deutscher Investor, möglich-private Investor-Weiterreichung;1;
22;http://www.zeit.de/2006/42/EADS-Airbus/komplettansicht?print=true;2006;42;Zeit;Der Vogel fliegt nicht;Clas Pieper;22;Gegenwart;Deutschland, Frankreich;-;falsche Zielsetzung-Streiff, politische Gedankenspiele, verzweifelte Unternehmensstruktur-Suche, optimales Gleichgewicht-Ziel, krisenanfälliges Unternehmen;-2;
22;http://www.zeit.de/2006/42/EADS-Airbus/komplettansicht?print=true;2006;42;Zeit;Der Vogel fliegt nicht;Clas Pieper;23;Gegenwart;Deutschland, Frankreich;Hamburg;verunsicherte Hamburger-Lütjen, möglich-herabgesetzte Hamburger, unspektakulärer Typ-A320;-1;
22;http://www.zeit.de/2006/42/EADS-Airbus/komplettansicht?print=true;2006;42;Zeit;Der Vogel fliegt nicht;Clas Pieper;24;Gegenwart, Vergangenheit;Deutschland, Frankreich;Hamburg;möglich Degradierung-Hamburg, entschlossene Bunderegierung, hohe Investitionen-Hansestadt-Bundesregierung, angesammeltes Wissen-Hamburg, unentbehrliche Seeanbindung-Hamburg;-1;
22;http://www.zeit.de/2006/42/EADS-Airbus/komplettansicht?print=true;2006;42;Zeit;Der Vogel fliegt nicht;Clas Pieper;25;Gegenwart;Deutschland, Frankreich;-;traditionsreiches Toulouse, vehemente Franzosen, mystischer Stolz, deutsch-französischer Rivalitäten;-1;
22;http://www.zeit.de/2006/42/EADS-Airbus/komplettansicht?print=true;2006;42;Zeit;Der Vogel fliegt nicht;Clas Pieper;26;Zukunft, Vergangenheit;Deutschland, Frankreich, USA;-;möglich-dominierendes Flugzeug-A380-Thomas-Mirow, viele Bestellungen, ähnliche Probleme-Boing, keine-ernsthaften Zwischenfälle;2;
22;http://www.zeit.de/2006/42/EADS-Airbus/komplettansicht?print=true;2006;42;Zeit;Der Vogel fliegt nicht;Clas Pieper;27;Gegenwart;Deutschland, Frankreich;-;festigendes Übergewicht-Frankreich, steigende Machtposition-Louis-Gallois, weniger-mächtig-deutscher Kollege-Thomas-Enders;-1;
22;http://www.zeit.de/2006/42/EADS-Airbus/komplettansicht?print=true;2006;42;Zeit;Der Vogel fliegt nicht;Clas Pieper;28;Gegenwart;Deutschland, Frankreich;-;ungleiche Augenhöhe, steigend Befürworter-Finanz-Engagement-Bund;-1;hab mich mit dem Artikel sehr schwer getan, darum die lange Zeit. Die Bewertungen sind auch schwierig: Beim zweiten Hinschauen sind die Fakten gar nicht so negativ, aber der Autor benutzt ziemlich düstere Sprache.
23;http://www.zeit.de/2006/43/Konjunktur/komplettansicht?print=true;2006;43;Zeit;Kaufrausch für die Konjunktur;Klaus-Peter Schmid;1;Gegenwart, Vergangenheit;Deutschland;-;deutscher Kaufrausch-Financial-Times-Deutschland, höchste Anschaffungsbereitschaft-GfK, hoher Konsumklima-Index-GfK, lockeres Geld-Hermann-Franzen-Hauptverband-des-Deutschen-Einzelhandels;3;
23;http://www.zeit.de/2006/43/Konjunktur/komplettansicht?print=true;2006;43;Zeit;Kaufrausch für die Konjunktur;Klaus-Peter Schmid;2;Gegenwart;Deutschland;-;spürbares Konsumausgaben-Anziehen-IfW-Experten, steigender Konsum-Institut-der-deutschen-Wirtschaft-IW, höchster Konsum-Zuwachs;3;
23;http://www.zeit.de/2006/43/Konjunktur/komplettansicht?print=true;2006;43;Zeit;Kaufrausch für die Konjunktur;Klaus-Peter Schmid;3;Gegenwart, Zukunft;Deutschland;-;kommende Mehrwertsteuer-Erhöhung, strittige Folgen, teurere Produkte, schrumpfende Kaufkraft, anhaltender Aufschwung-Deutschland, optimistisches ifo-Institut, temporäres Konsum-Abschwächen, dellenförmiges Abschwächen-IW;2;wenn die Abkürzung der Institution auftaucht, nehme ich nur die Abkürzung, richtig?
23;http://www.zeit.de/2006/43/Konjunktur/komplettansicht?print=true;2006;43;Zeit;Kaufrausch für die Konjunktur;Klaus-Peter Schmid;4;Gegenwart;Deutschland;-;vergleichsweise-düsterer Zukunfts-Blick-Gustav-Horn-Institut-f?r-Makroökonomie-und-Konjunkturforschung, massiver Blechschaden;-1;ich finde 'Blechschaden' immer noch recht harmlos. Wenn ihr das nicht so seht, kann die Bewertung hier auf -2
23;http://www.zeit.de/2006/43/Konjunktur/komplettansicht?print=true;2006;43;Zeit;Kaufrausch für die Konjunktur;Klaus-Peter Schmid;5;Gegenwart, Zukunft;Deutschland;-;deutlich-wachsende Wirtschaft, unerwartetes Wachstum, wachsend Wirtschaft-Deutschland, endende Stagnation, endendes Minimal-Wachstum, bestätigte Bundesregierung-Strategie, angeschobene Wirtschaft;2;
23;http://www.zeit.de/2006/43/Konjunktur/komplettansicht?print=true;2006;43;Zeit;Kaufrausch für die Konjunktur;Klaus-Peter Schmid;6;Gegenwart, Vergangenheit;Deutschland;-;schwungvolle Wirtschaft, hoher Konsum, angetriebene Wirtschaft, neuartiger Aufschwung-Konsum, traditionell Export;2;
23;http://www.zeit.de/2006/43/Konjunktur/komplettansicht?print=true;2006;43;Zeit;Kaufrausch für die Konjunktur;Klaus-Peter Schmid;7;Gegenwart;Deutschland;-;wachsender-privater Verbrauch, konstante Kaufkraft, stabile Preise, optimistische Stimmung, berauschender Fußball-Sommer, sinkende Arbeitslosigkeit, sinkendes Risiko;3;
23;http://www.zeit.de/2006/43/Konjunktur/komplettansicht?print=true;2006;43;Zeit;Kaufrausch für die Konjunktur;Klaus-Peter Schmid;8;Gegenwart;Deutschland;-;angekündigte Mehrwertsteuer, möglich-vorgezogener Konsum, möglich-steigend Weihnachtsgeschäft-Werbung-Mehrwertsteuer-Michael-Grömling-IW;2;
23;http://www.zeit.de/2006/43/Konjunktur/komplettansicht?print=true;2006;43;Zeit;Kaufrausch für die Konjunktur;Klaus-Peter Schmid;9;Gegenwart, Zukunft;Deutschland;-;vorgezogene Käufe-IfW-Kiel, spürbarer Konjunktur-Schub, kommende Nachfrage-Lücke, möglich-positive Entwicklung-Franzen-Einzelhandelspräsident, getroffen Einzelhandel-Franzen-Einzelhandelspräsident, verpasste Chancen-Gustav-Horn;1;
23;http://www.zeit.de/2006/43/Konjunktur/komplettansicht?print=true;2006;43;Zeit;Kaufrausch für die Konjunktur;Klaus-Peter Schmid;10;Gegenwart, Zukunft;Deutschland;-;konjunktureller Schwung, möglich-aufgehobener Bremseffekt, gravierende Steuererhöhung, unverlässliche Informationen-Mehrwertsteuer-Erhöhung, möglich-positive Überraschung-Michael-Grömling, mögliche Wachstumsüberraschungen-WestLB;2;
23;http://www.zeit.de/2006/43/Konjunktur/komplettansicht?print=true;2006;43;Zeit;Kaufrausch für die Konjunktur;Klaus-Peter Schmid;11;Gegenwart, Vergangenheit;Deutschland;-;generell gesteigerte Konsumneigung, steigend Konsum-Verbrauchsgüter, steigend Konsum-Gebrauchsgüter;2;
23;http://www.zeit.de/2006/43/Konjunktur/komplettansicht?print=true;2006;43;Zeit;Kaufrausch für die Konjunktur;Klaus-Peter Schmid;12;Zukunft;Deutschland;-;teilweise Weitergebung-Mehrwertsteuererhöhung, intensiver Wettbewerb, unmögliche Weitergebung-Komplett-Steuererhöhung;2;
23;http://www.zeit.de/2006/43/Konjunktur/komplettansicht?print=true;2006;43;Zeit;Kaufrausch für die Konjunktur;Klaus-Peter Schmid;13;Zukunft;Deutschland;-;teilweise-überwälzte Steuererhöhung, schwach-steigende Verbraucherpreise, nicht-abgeschreckter Konsum;2;
23;http://www.zeit.de/2006/43/Konjunktur/komplettansicht?print=true;2006;43;Zeit;Kaufrausch für die Konjunktur;Klaus-Peter Schmid;14;Zukunft;Deutschland;-;möglich-abschreckende Wirkung-Steuererhöhung, vorrübergehender Schock, sachte Konsumerholung-IW, zunehmende Dynamik, möglich Rückenwind-Arbeitsmarkt;2;
23;http://www.zeit.de/2006/43/Konjunktur/komplettansicht?print=true;2006;43;Zeit;Kaufrausch für die Konjunktur;Klaus-Peter Schmid;15;Gegenwart, Zukunft;Deutschland;-;stützende Investitionen, wettbewerbsfähige Unternehmen, erweiterte Produktionsanlagen, finanzierte Investitionen, relativ-niedrige Zinsen, investierender Mittelstand, profitierendes Baugewerbe, endende Bau-Krise;3;
23;http://www.zeit.de/2006/43/Konjunktur/komplettansicht?print=true;2006;43;Zeit;Kaufrausch für die Konjunktur;Klaus-Peter Schmid;16;Zukunft;Deutschland;-;anhaltender Exportindustrie-Erfolg, boomende Weltkonjunktur, glänzende Auslandsgeschäfte-Automobilsektor, glänzende Auslandsgeschäfte-Maschinenbau, moderate Lohnsteigerungen, sinkende Lohnstückkosten, erhaltene Wettbewerbsfähigkeit, behauptete Exportweltmeister-Positione-Deutsches-Institut-für-Wirtschaftsforschung;3;
23;http://www.zeit.de/2006/43/Konjunktur/komplettansicht?print=true;2006;43;Zeit;Kaufrausch für die Konjunktur;Klaus-Peter Schmid;17;Zukunft;Deutschland, USA;-;möglich-unvorhersehbare Schocks, möglich-weltpolitische Krisen, möglich-steigende Ölpreise, instabile Konjunktur-USA-Motor;-2;
23;http://www.zeit.de/2006/43/Konjunktur/komplettansicht?print=true;2006;43;Zeit;Kaufrausch für die Konjunktur;Klaus-Peter Schmid;18;Zukunft;Deutschland, USA, Eurozone;-;niedrige Inflationsrate, niedriger Ölpreis, boomende Weltwirtschaft, stabile Konjunktur-Euroland, anhaltendes Wirtschaftswachstum-USA;2;
23;http://www.zeit.de/2006/43/Konjunktur/komplettansicht?print=true;2006;43;Zeit;Kaufrausch für die Konjunktur;Klaus-Peter Schmid;19;Gegenwart;Deutschland, EU;-;unnötoge Mehrwertsteuer-Erhöhung, sinkendes Haushaltsdefizit, mühelose Erfüllung-Brüssel-Soll-Peer-Steinbrück, steigende Staatseinnahmen;0;
23;http://www.zeit.de/2006/43/Konjunktur/komplettansicht?print=true;2006;43;Zeit;Kaufrausch für die Konjunktur;Klaus-Peter Schmid;20;Gegenwart;Deutschland;-;zuviel Gutes, zuwenig Wachstum;-1;
24;http://www.zeit.de/2006/44/Die_superreichen_Bettler/komplettansicht?print=true;2006;44;Zeit;Die superreichen Bettler;Klaus-Peter Schmid;1;Gegenwart;Deutschland;Berlin, Bremen;armes Berlin, rote Zahlen, hohe Schulden;-2;
24;http://www.zeit.de/2006/44/Die_superreichen_Bettler/komplettansicht?print=true;2006;44;Zeit;Die superreichen Bettler;Klaus-Peter Schmid;2;Gegenwart;Deutschland;Berlin;riesiges Vermögen, direkte Unternehmen-Beteiligung, direkte Tochter-Unternehmen-Beteiligung;1;
24;http://www.zeit.de/2006/44/Die_superreichen_Bettler/komplettansicht?print=true;2006;44;Zeit;Die superreichen Bettler;Klaus-Peter Schmid;3;Gegenwart;Deutschland;Berlin;solides Unternehmen-Stadtreinigung, solides Unternehmen-Vivantes, solides Unternehmen-Klassenlotterie, reichlicher Wohnungsbesitz, reichlicher Grundbesitz, leere Kassen, reiche Stadt;1;
24;http://www.zeit.de/2006/44/Die_superreichen_Bettler/komplettansicht?print=true;2006;44;Zeit;Die superreichen Bettler;Klaus-Peter Schmid;4;Gegenwart;Deutschland;Berlin;ärgerlicher Widerspruch, nicht-extreme Haushaltsnotlage, mögliche Selbsthilfe, verärgerte Finanzgeber-Bund-und-Länder;0;
24;http://www.zeit.de/2006/44/Die_superreichen_Bettler/komplettansicht?print=true;2006;44;Zeit;Die superreichen Bettler;Klaus-Peter Schmid;5;Gegenwart;Deutschland;Berlin;unzureichende Einnahmen-Grunderwerbssteuer-Erhöhung, guter Wille, unvermeidliche Personalausgaben-Einsparungen, allmähliche Sanierung-Personalausgaben-Einsparungen, nötige Zinslast-Reduktion, fehlende Zukunftsinvestitionen-Mittel;-2;
24;http://www.zeit.de/2006/44/Die_superreichen_Bettler/komplettansicht?print=true;2006;44;Zeit;Die superreichen Bettler;Klaus-Peter Schmid;6;Gegenwart, Zukunft;Deutschland;Berlin;naheliegender Schuldenabbau, üppiges Vermögen, möglich Milliarden-Beschaffung, landeseigene Wohnungsbaugesellschaften-Verkauf, hoher-öffentlicher Wohnraum-Anteil, niedriges Mietniveau;1;
24;http://www.zeit.de/2006/44/Die_superreichen_Bettler/komplettansicht?print=true;2006;44;Zeit;Die superreichen Bettler;Klaus-Peter Schmid;7;Vergangenheit, Gegenwart;Deutschland;Berlin;historische Gründe, fehlende Privat-Bauherren, florierender Sozial-Wohnungsbau, östlich Staatssache-Wohnungsbau, unplausibel Gegenwart-Eingriff-Wohnungsmarkt, überflüssiges Kommunen-Engagement;-1;
24;http://www.zeit.de/2006/44/Die_superreichen_Bettler/komplettansicht?print=true;2006;44;Zeit;Die superreichen Bettler;Klaus-Peter Schmid;8;Vergangenheit, Gegenwart;Deutschland;Berlin, Dresden, Sachsen;sinvoll-geringer Bestand-Wohnung-Stadteigentum, überzeugend Verkauf-Wohnungsbaugesellschaften, vorbildliches Dresden, entbehrliches Vermögen, schuldenfrei Wohnungsverkauf-Dresden;1;
24;http://www.zeit.de/2006/44/Die_superreichen_Bettler/komplettansicht?print=true;2006;44;Zeit;Die superreichen Bettler;Klaus-Peter Schmid;9;Vergangenheit, Gegenwart;Deutschland;Dresden, Sachsen;übriggebliebene Milliarde-Dresden, eingesparte Zinsen-Dresden;2;
24;http://www.zeit.de/2006/44/Die_superreichen_Bettler/komplettansicht?print=true;2006;44;Zeit;Die superreichen Bettler;Klaus-Peter Schmid;10;Gegenwart;Deutschland;Berlin;anbietende Grundbesitz-Privatisierung, tausende Objekte-Beteiligung-Liegenschaftsfonds-Berlin, größter Milchproduzent-Berlin, beginnend Grundbesitz-Sortierung, beginnend Privatisierung, platzreiches Berlin;1;
24;http://www.zeit.de/2006/44/Die_superreichen_Bettler/komplettansicht?print=true;2006;44;Zeit;Die superreichen Bettler;Klaus-Peter Schmid;11;Gegenwart;Deutschland;Berlin;plausible Gründe-Stadtbesitz, unüberzeugend Einfluss-Argument, gesicherte Parteifreund-Posten, nötige Bürger-Daseinsvorsorge-Müllentsorgung, nötige Bürger-Daseinsvorsorge-Nahverkehr, nötige Fiskaldisziplin;0;
24;http://www.zeit.de/2006/44/Die_superreichen_Bettler/komplettansicht?print=true;2006;44;Zeit;Die superreichen Bettler;Klaus-Peter Schmid;12;Gegenwart, Vergangenheit;Deutschland;Berlin;abschreckende Privatisierung-Politiker, gute Erfahrungen-Privatisierung, private Versorgung-Wasser, private Versorgung-Strom, private Versorgung-Gas, konstante Qualität-Infrastruktur, konstante Mieten, verbesserter Landeshaushalt;2;
24;http://www.zeit.de/2006/44/Die_superreichen_Bettler/komplettansicht?print=true;2006;44;Zeit;Die superreichen Bettler;Klaus-Peter Schmid;13;Gegenwart;Deutschland;Berlin;zurückhaltende Sparanstrenung-Dosierung, verkaufs-bereiter Finanzchef-Sarrazin, ablehnender Privatisierung-Klaus-Wowereit, unkonkreter Sparkurs-Klaus-Wowereit;-1;
