"",BBEX3.D.ARS.EUR.CA.AC.000,BBEX3.D.ARS.EUR.CA.AC.000_FLAGS
2005-01-08,.,No value available
2005-01-09,.,No value available
2005-01-10,3.86145,
2005-01-11,3.86080,
2005-01-12,3.88190,
2005-01-13,3.85175,
2005-01-14,3.82095,
2005-01-15,.,No value available
2005-01-16,.,No value available
2005-01-17,3.80350,
2005-01-18,3.80130,
2005-01-19,3.80295,
2005-01-20,3.78835,
2005-01-21,3.81785,
2005-01-22,.,No value available
2005-01-23,.,No value available
2005-01-24,3.79955,
2005-01-25,3.76375,
2005-01-26,3.80325,
2005-01-27,3.78520,
2005-01-28,3.78885,
2005-01-29,.,No value available
2005-01-30,.,No value available
2005-01-31,3.78985,
2005-02-01,3.78300,
2005-02-02,3.78360,
2005-02-03,3.76170,
2005-02-04,3.73650,
2005-02-05,.,No value available
2005-02-06,.,No value available
2005-02-07,3.70190,
2005-02-08,3.70130,
2005-02-09,3.69460,
2005-02-10,3.73110,
2005-02-11,3.71970,
2005-02-12,.,No value available
2005-02-13,.,No value available
2005-02-14,3.74545,
2005-02-15,3.74760,
2005-02-16,3.73345,
2005-02-17,3.77400,
2005-02-18,3.78450,
2005-02-19,.,No value available
2005-02-20,.,No value available
2005-02-21,3.78040,
2005-02-22,3.84200,
2005-02-23,3.84940,
2005-02-24,3.85160,
2005-02-25,3.85890,
2005-02-26,.,No value available
2005-02-27,.,No value available
2005-02-28,3.86705,
2005-03-01,3.85750,
2005-03-02,3.85440,
2005-03-03,3.84750,
2005-03-04,3.86400,
2005-03-05,.,No value available
2005-03-06,.,No value available
2005-03-07,3.84365,
2005-03-08,3.88195,
2005-03-09,3.90630,
2005-03-10,3.90560,
2005-03-11,3.89980,
2005-03-12,.,No value available
2005-03-13,.,No value available
2005-03-14,3.87020,
2005-03-15,3.85900,
2005-03-16,3.88735,
2005-03-17,3.87535,
2005-03-18,3.85665,
2005-03-19,.,No value available
2005-03-20,.,No value available
2005-03-21,3.81290,
2005-03-22,3.81455,
2005-03-23,3.75860,
2005-03-24,.,No value available
2005-03-25,.,No value available
2005-03-26,.,No value available
2005-03-27,.,No value available
2005-03-28,3.73730,
2005-03-29,3.74590,
2005-03-30,3.75940,
2005-03-31,3.75785,
2005-04-01,3.73895,
2005-04-02,.,No value available
2005-04-03,.,No value available
2005-04-04,3.72130,
2005-04-05,3.71505,
2005-04-06,3.71575,
2005-04-07,3.69295,
2005-04-08,3.71420,
2005-04-09,.,No value available
2005-04-10,.,No value available
2005-04-11,3.72855,
2005-04-12,3.69610,
2005-04-13,3.69025,
2005-04-14,3.67515,
2005-04-15,3.71675,
2005-04-16,.,No value available
2005-04-17,.,No value available
2005-04-18,3.75480,
2005-04-19,3.75280,
2005-04-20,3.76860,
2005-04-21,3.76075,
2005-04-22,3.75885,
2005-04-23,.,No value available
2005-04-24,.,No value available
2005-04-25,3.73970,
2005-04-26,3.72960,
2005-04-27,3.72830,
2005-04-28,3.72405,
2005-04-29,3.71815,
2005-04-30,.,No value available
2005-05-01,.,No value available
2005-05-02,3.70095,
2005-05-03,3.70775,
2005-05-04,3.72170,
2005-05-05,3.72210,
2005-05-06,3.69420,
2005-05-07,.,No value available
2005-05-08,.,No value available
2005-05-09,3.68820,
2005-05-10,3.69885,
2005-05-11,3.68460,
2005-05-12,3.65070,
2005-05-13,3.62955,
2005-05-14,.,No value available
2005-05-15,.,No value available
2005-05-16,3.61595,
2005-05-17,3.62305,
2005-05-18,3.62995,
2005-05-19,3.61980,
2005-05-20,3.59795,
2005-05-21,.,No value available
2005-05-22,.,No value available
2005-05-23,3.60500,
2005-05-24,3.60300,
2005-05-25,.,No value available
2005-05-26,3.58455,
2005-05-27,3.60200,
2005-05-28,.,No value available
2005-05-29,.,No value available
2005-05-30,3.57010,
2005-05-31,3.52365,
2005-06-01,3.50580,
2005-06-02,3.51520,
2005-06-03,3.50845,
2005-06-04,.,No value available
2005-06-05,.,No value available
2005-06-06,3.52860,
2005-06-07,3.52595,
2005-06-08,3.52870,
2005-06-09,3.51455,
2005-06-10,3.48015,
2005-06-11,.,No value available
2005-06-12,.,No value available
2005-06-13,3.45960,
2005-06-14,3.43775,
2005-06-15,3.45795,
2005-06-16,3.44835,
2005-06-17,3.49185,
2005-06-18,.,No value available
2005-06-19,.,No value available
2005-06-20,.,No value available
2005-06-21,3.46165,
2005-06-22,3.44750,
2005-06-23,3.43480,
2005-06-24,3.45420,
2005-06-25,.,No value available
2005-06-26,.,No value available
2005-06-27,3.48795,
2005-06-28,3.46820,
2005-06-29,3.47340,
2005-06-30,3.46405,
2005-07-01,3.42385,
2005-07-02,.,No value available
2005-07-03,.,No value available
2005-07-04,3.40925,
2005-07-05,3.41440,
2005-07-06,3.41250,
2005-07-07,3.41260,
2005-07-08,3.40100,
2005-07-09,.,No value available
2005-07-10,.,No value available
2005-07-11,3.44290,
2005-07-12,3.48740,
2005-07-13,3.44400,
2005-07-14,3.43600,
2005-07-15,3.42510,
2005-07-16,.,No value available
2005-07-17,.,No value available
2005-07-18,3.42830,
2005-07-19,3.42020,
2005-07-20,3.44155,
2005-07-21,3.46560,
2005-07-22,3.43280,
2005-07-23,.,No value available
2005-07-24,.,No value available
2005-07-25,3.42475,
2005-07-26,3.41565,
2005-07-27,3.43205,
2005-07-28,3.45010,
2005-07-29,3.44740,
2005-07-30,.,No value available
2005-07-31,.,No value available
2005-08-01,3.46555,
2005-08-02,3.46285,
2005-08-03,3.50240,
2005-08-04,3.51695,
2005-08-05,3.50945,
2005-08-06,.,No value available
2005-08-07,.,No value available
2005-08-08,3.52095,
2005-08-09,3.52130,
2005-08-10,3.52695,
2005-08-11,3.55280,
2005-08-12,3.55940,
2005-08-13,.,No value available
2005-08-14,.,No value available
2005-08-15,.,No value available
2005-08-16,3.54040,
2005-08-17,3.52760,
2005-08-18,3.50230,
2005-08-19,3.51305,
2005-08-20,.,No value available
2005-08-21,.,No value available
2005-08-22,3.52890,
2005-08-23,3.53160,
2005-08-24,3.54135,
2005-08-25,3.55315,
2005-08-26,3.55365,
2005-08-27,.,No value available
2005-08-28,.,No value available
2005-08-29,3.53770,
2005-08-30,3.52895,
2005-08-31,3.56650,
2005-09-01,3.60225,
2005-09-02,3.62360,
2005-09-03,.,No value available
2005-09-04,.,No value available
2005-09-05,3.61580,
2005-09-06,3.60200,
2005-09-07,3.58995,
2005-09-08,3.57285,
2005-09-09,3.58645,
2005-09-10,.,No value available
2005-09-11,.,No value available
2005-09-12,3.55850,
2005-09-13,3.55720,
2005-09-14,3.56070,
2005-09-15,3.53515,
2005-09-16,3.53350,
2005-09-17,.,No value available
2005-09-18,.,No value available
2005-09-19,3.50955,
2005-09-20,3.52070,
2005-09-21,3.53400,
2005-09-22,3.51825,
2005-09-23,3.51585,
2005-09-24,.,No value available
2005-09-25,.,No value available
2005-09-26,3.48435,
2005-09-27,3.46875,
2005-09-28,3.48280,
2005-09-29,3.48170,
2005-09-30,3.47390,
2005-10-01,.,No value available
2005-10-02,.,No value available
2005-10-03,3.44005,
2005-10-04,3.44920,
2005-10-05,3.48025,
2005-10-06,3.49465,
2005-10-07,3.53555,
2005-10-08,.,No value available
2005-10-09,.,No value available
2005-10-10,.,No value available
2005-10-11,3.52215,
2005-10-12,3.54030,
2005-10-13,3.55575,
2005-10-14,3.57145,
2005-10-15,.,No value available
2005-10-16,.,No value available
2005-10-17,3.55045,
2005-10-18,3.52655,
2005-10-19,3.53610,
2005-10-20,3.54950,
2005-10-21,3.53590,
2005-10-22,.,No value available
2005-10-23,.,No value available
2005-10-24,3.54380,
2005-10-25,3.59055,
2005-10-26,3.59730,
2005-10-27,3.64035,
2005-10-28,3.61155,
2005-10-29,.,No value available
2005-10-30,.,No value available
2005-10-31,3.57585,
2005-11-01,3.56655,
2005-11-02,3.58070,
2005-11-03,3.53975,
2005-11-04,3.49765,
2005-11-05,.,No value available
2005-11-06,.,No value available
2005-11-07,3.48085,
2005-11-08,3.46520,
2005-11-09,3.46110,
2005-11-10,3.46405,
2005-11-11,3.44815,
2005-11-12,.,No value available
2005-11-13,.,No value available
2005-11-14,3.43870,
2005-11-15,3.42705,
2005-11-16,3.42620,
2005-11-17,3.42355,
2005-11-18,3.42940,
2005-11-19,.,No value available
2005-11-20,.,No value available
2005-11-21,3.42410,
2005-11-22,3.43410,
2005-11-23,3.46020,
2005-11-24,3.45965,
2005-11-25,3.45695,
2005-11-26,.,No value available
2005-11-27,.,No value available
2005-11-28,3.50235,
2005-11-29,3.47730,
2005-11-30,3.47110,
2005-12-01,3.46395,
2005-12-02,3.46545,
2005-12-03,.,No value available
2005-12-04,.,No value available
2005-12-05,3.52665,
2005-12-06,3.51035,
2005-12-07,3.47945,
2005-12-08,.,No value available
2005-12-09,3.53345,
2005-12-10,.,No value available
2005-12-11,.,No value available
2005-12-12,3.58370,
2005-12-13,3.55950,
2005-12-14,3.58030,
2005-12-15,3.58035,
2005-12-16,3.62145,
2005-12-17,.,No value available
2005-12-18,.,No value available
2005-12-19,3.60735,
2005-12-20,3.57265,
2005-12-21,3.56180,
2005-12-22,3.56290,
2005-12-23,3.56080,
2005-12-24,.,No value available
2005-12-25,.,No value available
2005-12-26,3.55545,
2005-12-27,3.57715,
2005-12-28,3.57400,
2005-12-29,3.56520,
2005-12-30,3.56305,
2005-12-31,.,No value available
2006-01-01,.,No value available
2006-01-02,3.55710,
2006-01-03,3.61240,
2006-01-04,3.65980,
2006-01-05,3.66585,
2006-01-06,3.69405,
2006-01-07,.,No value available
2006-01-08,.,No value available
2006-01-09,3.67760,
2006-01-10,3.66610,
2006-01-11,3.67735,
2006-01-12,3.63050,
2006-01-13,3.66095,
2006-01-14,.,No value available
2006-01-15,.,No value available
2006-01-16,3.65280,
2006-01-17,3.65190,
2006-01-18,3.65740,
2006-01-19,3.66615,
2006-01-20,3.65165,
2006-01-21,.,No value available
2006-01-22,.,No value available
2006-01-23,3.71165,
2006-01-24,3.70865,
2006-01-25,3.71770,
2006-01-26,3.71440,
2006-01-27,3.68100,
2006-01-28,.,No value available
2006-01-29,.,No value available
2006-01-30,3.67580,
2006-01-31,3.71020,
2006-02-01,3.68120,
2006-02-02,3.68855,
2006-02-03,3.65930,
2006-02-04,.,No value available
2006-02-05,.,No value available
2006-02-06,3.64675,
2006-02-07,3.65610,
2006-02-08,3.64575,
2006-02-09,3.64380,
2006-02-10,3.63250,
2006-02-11,.,No value available
2006-02-12,.,No value available
2006-02-13,3.62875,
2006-02-14,3.63085,
2006-02-15,3.62535,
2006-02-16,3.61790,
2006-02-17,3.62120,
2006-02-18,.,No value available
2006-02-19,.,No value available
2006-02-20,3.63705,
2006-02-21,3.63240,
2006-02-22,3.63660,
2006-02-23,3.64050,
2006-02-24,3.62670,
2006-02-25,.,No value available
2006-02-26,.,No value available
2006-02-27,3.61820,
2006-02-28,3.64170,
2006-03-01,3.62880,
2006-03-02,3.66110,
2006-03-03,3.66990,
2006-03-04,.,No value available
2006-03-05,.,No value available
2006-03-06,3.66705,
2006-03-07,3.63605,
2006-03-08,3.65060,
2006-03-09,3.64820,
2006-03-10,3.64055,
2006-03-11,.,No value available
2006-03-12,.,No value available
2006-03-13,3.65225,
2006-03-14,3.67070,
2006-03-15,3.67725,
2006-03-16,3.71930,
2006-03-17,3.72390,
2006-03-18,.,No value available
2006-03-19,.,No value available
2006-03-20,3.71750,
2006-03-21,3.69120,
2006-03-22,3.69120,
2006-03-23,3.66450,
2006-03-24,.,No value available
2006-03-25,.,No value available
2006-03-26,.,No value available
2006-03-27,3.68035,
2006-03-28,3.69720,
2006-03-29,3.68040,
2006-03-30,3.70980,
2006-03-31,3.71190,
2006-04-01,.,No value available
2006-04-02,.,No value available
2006-04-03,3.72015,
2006-04-04,3.75265,
2006-04-05,3.76245,
2006-04-06,3.73860,
2006-04-07,3.70670,
2006-04-08,.,No value available
2006-04-09,.,No value available
2006-04-10,3.69875,
2006-04-11,3.70830,
2006-04-12,3.70035,
2006-04-13,.,No value available
2006-04-14,.,No value available
2006-04-15,.,No value available
2006-04-16,.,No value available
2006-04-17,3.75140,
2006-04-18,3.74645,
2006-04-19,3.77450,
2006-04-20,3.74360,
2006-04-21,3.74935,
2006-04-22,.,No value available
2006-04-23,.,No value available
2006-04-24,3.75215,
2006-04-25,3.74740,
2006-04-26,3.75640,
2006-04-27,3.78950,
2006-04-28,3.82510,
2006-04-29,.,No value available
2006-04-30,.,No value available
2006-05-01,.,No value available
2006-05-02,3.81740,
2006-05-03,3.81660,
2006-05-04,3.82990,
2006-05-05,3.84740,
2006-05-06,.,No value available
2006-05-07,.,No value available
2006-05-08,3.83615,
2006-05-09,3.85285,
2006-05-10,3.86215,
2006-05-11,3.87345,
2006-05-12,3.88685,
2006-05-13,.,No value available
2006-05-14,.,No value available
2006-05-15,3.87035,
2006-05-16,3.87680,
2006-05-17,3.85390,
2006-05-18,3.88910,
2006-05-19,3.87560,
2006-05-20,.,No value available
2006-05-21,.,No value available
2006-05-22,3.91740,
2006-05-23,3.92135,
2006-05-24,3.91030,
2006-05-25,.,No value available
2006-05-26,3.89395,
2006-05-27,.,No value available
2006-05-28,.,No value available
2006-05-29,3.89695,
2006-05-30,3.94960,
2006-05-31,3.93315,
2006-06-01,3.91940,
2006-06-02,3.95450,
2006-06-03,.,No value available
2006-06-04,.,No value available
2006-06-05,3.96405,
2006-06-06,3.93060,
2006-06-07,3.91985,
2006-06-08,3.87365,
2006-06-09,3.87355,
2006-06-10,.,No value available
2006-06-11,.,No value available
2006-06-12,3.85515,
2006-06-13,3.83900,
2006-06-14,3.86120,
2006-06-15,3.86130,
2006-06-16,3.86430,
2006-06-17,.,No value available
2006-06-18,.,No value available
2006-06-19,.,No value available
2006-06-20,3.85295,
2006-06-21,3.87110,
2006-06-22,3.84650,
2006-06-23,3.83130,
2006-06-24,.,No value available
2006-06-25,.,No value available
2006-06-26,3.86115,
2006-06-27,3.86220,
2006-06-28,3.84590,
2006-06-29,3.84620,
2006-06-30,3.91730,
2006-07-01,.,No value available
2006-07-02,.,No value available
2006-07-03,3.92520,
2006-07-04,3.92395,
2006-07-05,3.90290,
2006-07-06,3.91330,
2006-07-07,3.93290,
2006-07-08,.,No value available
2006-07-09,.,No value available
2006-07-10,3.90410,
2006-07-11,3.90980,
2006-07-12,3.88775,
2006-07-13,3.88745,
2006-07-14,3.87210,
2006-07-15,.,No value available
2006-07-16,.,No value available
2006-07-17,3.83560,
2006-07-18,3.82705,
2006-07-19,3.85115,
2006-07-20,3.86620,
2006-07-21,3.88460,
2006-07-22,.,No value available
2006-07-23,.,No value available
2006-07-24,3.86250,
2006-07-25,3.84410,
2006-07-26,3.86500,
2006-07-27,3.88740,
2006-07-28,3.89755,
2006-07-29,.,No value available
2006-07-30,.,No value available
2006-07-31,3.89820,
2006-08-01,3.90665,
2006-08-02,3.90360,
2006-08-03,3.90355,
2006-08-04,3.92850,
2006-08-05,.,No value available
2006-08-06,.,No value available
2006-08-07,3.91860,
2006-08-08,3.91650,
2006-08-09,3.92695,
2006-08-10,3.89770,
2006-08-11,3.88470,
2006-08-12,.,No value available
2006-08-13,.,No value available
2006-08-14,3.88980,
2006-08-15,3.91295,
2006-08-16,3.92150,
2006-08-17,3.93315,
2006-08-18,3.92470,
2006-08-19,.,No value available
2006-08-20,.,No value available
2006-08-21,.,No value available
2006-08-22,3.92550,
2006-08-23,3.91975,
2006-08-24,3.91425,
2006-08-25,3.91850,
2006-08-26,.,No value available
2006-08-27,.,No value available
2006-08-28,3.93410,
2006-08-29,3.92880,
2006-08-30,3.94670,
2006-08-31,3.93535,
2006-09-01,3.94700,
2006-09-02,.,No value available
2006-09-03,.,No value available
2006-09-04,3.95515,
2006-09-05,3.94215,
2006-09-06,3.93960,
2006-09-07,3.92555,
2006-09-08,3.90285,
2006-09-09,.,No value available
2006-09-10,.,No value available
2006-09-11,3.91095,
2006-09-12,3.91540,
2006-09-13,3.91525,
2006-09-14,3.92225,
2006-09-15,3.89255,
2006-09-16,.,No value available
2006-09-17,.,No value available
2006-09-18,3.90370,
2006-09-19,3.90060,
2006-09-20,3.91045,
2006-09-21,3.93170,
2006-09-22,3.94005,
2006-09-23,.,No value available
2006-09-24,.,No value available
2006-09-25,3.92680,
2006-09-26,3.90935,
2006-09-27,3.91430,
2006-09-28,3.91625,
2006-09-29,3.91160,
2006-09-30,.,No value available
2006-10-01,.,No value available
2006-10-02,3.93065,
2006-10-03,3.92390,
2006-10-04,3.91655,
2006-10-05,3.91440,
2006-10-06,3.88915,
2006-10-07,.,No value available
2006-10-08,.,No value available
2006-10-09,3.88885,
2006-10-10,3.86850,
2006-10-11,3.87245,
2006-10-12,3.86965,
2006-10-13,3.85575,
2006-10-14,.,No value available
2006-10-15,.,No value available
2006-10-16,.,No value available
2006-10-17,3.86585,
2006-10-18,3.84540,
2006-10-19,3.87320,
2006-10-20,3.87205,
2006-10-21,.,No value available
2006-10-22,.,No value available
2006-10-23,3.85145,
2006-10-24,3.85915,
2006-10-25,3.86690,
2006-10-26,3.89655,
2006-10-27,3.91365,
2006-10-28,.,No value available
2006-10-29,.,No value available
2006-10-30,3.91000,
2006-10-31,3.92235,
2006-11-01,3.91550,
2006-11-02,3.91190,
2006-11-03,3.89045,
2006-11-04,.,No value available
2006-11-05,.,No value available
2006-11-06,.,No value available
2006-11-07,3.91345,
2006-11-08,3.89490,
2006-11-09,3.91135,
2006-11-10,3.92315,
2006-11-11,.,No value available
2006-11-12,.,No value available
2006-11-13,3.91245,
2006-11-14,3.91070,
2006-11-15,3.90525,
2006-11-16,3.90500,
2006-11-17,3.91600,
2006-11-18,.,No value available
2006-11-19,.,No value available
2006-11-20,3.91520,
2006-11-21,3.92280,
2006-11-22,3.94400,
2006-11-23,3.95120,
2006-11-24,3.99945,
2006-11-25,.,No value available
2006-11-26,.,No value available
2006-11-27,4.01195,
2006-11-28,4.02265,
2006-11-29,4.01735,
2006-11-30,4.04025,
2006-12-01,4.05030,
2006-12-02,.,No value available
2006-12-03,.,No value available
2006-12-04,4.05065,
2006-12-05,4.04460,
2006-12-06,4.03905,
2006-12-07,4.03825,
2006-12-08,.,No value available
2006-12-09,.,No value available
2006-12-10,.,No value available
2006-12-11,4.02995,
2006-12-12,4.01505,
2006-12-13,4.01345,
2006-12-14,3.99575,
2006-12-15,3.96860,
2006-12-16,.,No value available
2006-12-17,.,No value available
2006-12-18,3.97010,
2006-12-19,4.00755,
2006-12-20,3.99600,
2006-12-21,3.98440,
2006-12-22,3.98770,
2006-12-23,.,No value available
2006-12-24,.,No value available
2006-12-25,.,No value available
2006-12-26,3.99745,
2006-12-27,4.01050,
2006-12-28,4.01870,
2006-12-29,4.01255,
2006-12-30,.,No value available
2006-12-31,.,No value available
2007-01-01,.,No value available
2007-01-02,4.03550,
2007-01-03,3.99855,
2007-01-04,3.99645,
2007-01-05,3.97495,
2007-01-06,.,No value available
2007-01-07,.,No value available
2007-01-08,3.98690,
2007-01-09,3.98145,
2007-01-10,3.95895,
2007-01-11,3.94905,
2007-01-12,3.95560,
2007-01-13,.,No value available
2007-01-14,.,No value available
2007-01-15,3.95545,
2007-01-16,3.95340,
2007-01-17,3.96095,
2007-01-18,3.96575,
2007-01-19,3.97490,
2007-01-20,.,No value available
2007-01-21,.,No value available
2007-01-22,3.98235,
2007-01-23,4.00925,
2007-01-24,3.98450,
2007-01-25,3.99390,
2007-01-26,3.98510,
2007-01-27,.,No value available
2007-01-28,.,No value available
2007-01-29,3.99975,
2007-01-30,4.00000,
2007-01-31,4.01510,
2007-02-01,4.01300,
2007-02-02,3.98995,
2007-02-03,.,No value available
2007-02-04,.,No value available
2007-02-05,3.98650,
2007-02-06,3.99600,
2007-02-07,4.01110,
2007-02-08,4.02085,
2007-02-09,4.01255,
2007-02-10,.,No value available
2007-02-11,.,No value available
2007-02-12,3.99765,
2007-02-13,4.01450,
2007-02-14,4.04000,
2007-02-15,4.04605,
2007-02-16,4.05170,
2007-02-17,.,No value available
2007-02-18,.,No value available
2007-02-19,4.05395,
2007-02-20,4.04975,
2007-02-21,4.05080,
2007-02-22,4.04790,
2007-02-23,4.06180,
2007-02-24,.,No value available
2007-02-25,.,No value available
2007-02-26,4.05740,
2007-02-27,4.08065,
2007-02-28,4.07315,
2007-03-01,4.05350,
2007-03-02,4.06085,
2007-03-03,.,No value available
2007-03-04,.,No value available
2007-03-05,4.03480,
2007-03-06,4.04105,
2007-03-07,4.05435,
2007-03-08,4.05170,
2007-03-09,4.04650,
2007-03-10,.,No value available
2007-03-11,.,No value available
2007-03-12,4.06355,
2007-03-13,4.06955,
2007-03-14,4.06990,
2007-03-15,4.07265,
2007-03-16,4.10005,
2007-03-17,.,No value available
2007-03-18,.,No value available
2007-03-19,4.09285,
2007-03-20,4.09675,
2007-03-21,4.09625,
2007-03-22,4.10045,
2007-03-23,4.09675,
2007-03-24,.,No value available
2007-03-25,.,No value available
2007-03-26,4.11265,
2007-03-27,4.11845,
2007-03-28,4.11175,
2007-03-29,4.11030,
2007-03-30,4.11840,
2007-03-31,.,No value available
2007-04-01,.,No value available
2007-04-02,.,No value available
2007-04-03,4.11055,
2007-04-04,4.11720,
2007-04-05,.,No value available
2007-04-06,.,No value available
2007-04-07,.,No value available
2007-04-08,.,No value available
2007-04-09,4.10675,
2007-04-10,4.12790,
2007-04-11,4.12360,
2007-04-12,4.12930,
2007-04-13,4.15295,
2007-04-14,.,No value available
2007-04-15,.,No value available
2007-04-16,4.15565,
2007-04-17,4.15570,
2007-04-18,4.16000,
2007-04-19,4.17205,
2007-04-20,4.17145,
2007-04-21,.,No value available
2007-04-22,.,No value available
2007-04-23,4.15820,
2007-04-24,4.17230,
2007-04-25,4.18310,
2007-04-26,4.17415,
2007-04-27,4.18425,
2007-04-28,.,No value available
2007-04-29,.,No value available
2007-04-30,4.19375,
2007-05-01,.,No value available
2007-05-02,4.16735,
2007-05-03,4.15585,
2007-05-04,4.16465,
2007-05-05,.,No value available
2007-05-06,.,No value available
2007-05-07,4.16360,
2007-05-08,4.14340,
2007-05-09,4.14385,
2007-05-10,4.12360,
2007-05-11,4.13700,
2007-05-12,.,No value available
2007-05-13,.,No value available
2007-05-14,4.14195,
2007-05-15,4.15445,
2007-05-16,4.13015,
2007-05-17,4.12195,
2007-05-18,4.13060,
2007-05-19,.,No value available
2007-05-20,.,No value available
2007-05-21,4.11400,
2007-05-22,4.11345,
2007-05-23,4.12145,
2007-05-24,4.11755,
2007-05-25,.,No value available
2007-05-26,.,No value available
2007-05-27,.,No value available
2007-05-28,4.12050,
2007-05-29,4.11995,
2007-05-30,4.10545,
2007-05-31,4.11025,
2007-06-01,4.10445,
2007-06-02,.,No value available
2007-06-03,.,No value available
2007-06-04,4.11300,
2007-06-05,4.13290,
2007-06-06,4.12635,
2007-06-07,4.10570,
2007-06-08,4.07995,
2007-06-09,.,No value available
2007-06-10,.,No value available
2007-06-11,4.07950,
2007-06-12,4.06840,
2007-06-13,4.05860,
2007-06-14,4.06330,
2007-06-15,4.08980,
2007-06-16,.,No value available
2007-06-17,.,No value available
2007-06-18,.,No value available
2007-06-19,4.09950,
2007-06-20,4.10410,
2007-06-21,4.10075,
2007-06-22,4.12130,
2007-06-23,.,No value available
2007-06-24,.,No value available
2007-06-25,4.12370,
2007-06-26,4.13210,
2007-06-27,4.12820,
2007-06-28,4.12935,
2007-06-29,4.15700,
2007-06-30,.,No value available
2007-07-01,.,No value available
2007-07-02,4.18350,
2007-07-03,4.18010,
2007-07-04,4.18145,
2007-07-05,4.19245,
2007-07-06,4.20250,
2007-07-07,.,No value available
2007-07-08,.,No value available
2007-07-09,.,No value available
2007-07-10,4.22665,
2007-07-11,4.24020,
2007-07-12,4.24625,
2007-07-13,4.24565,
2007-07-14,.,No value available
2007-07-15,.,No value available
2007-07-16,4.24640,
2007-07-17,4.24580,
2007-07-18,4.25670,
2007-07-19,4.25945,
2007-07-20,4.28405,
2007-07-21,.,No value available
2007-07-22,.,No value available
2007-07-23,4.28555,
2007-07-24,4.33775,
2007-07-25,4.33155,
2007-07-26,4.28895,
2007-07-27,4.22865,
2007-07-28,.,No value available
2007-07-29,.,No value available
2007-07-30,4.24610,
2007-07-31,4.24480,
2007-08-01,4.25220,
2007-08-02,4.27055,
2007-08-03,4.30060,
2007-08-04,.,No value available
2007-08-05,.,No value available
2007-08-06,4.30170,
2007-08-07,4.29025,
2007-08-08,4.29575,
2007-08-09,4.27430,
2007-08-10,4.28555,
2007-08-11,.,No value available
2007-08-12,.,No value available
2007-08-13,4.25470,
2007-08-14,4.24320,
2007-08-15,4.21960,
2007-08-16,4.20525,
2007-08-17,4.23375,
2007-08-18,.,No value available
2007-08-19,.,No value available
2007-08-20,.,No value available
2007-08-21,4.22820,
2007-08-22,4.25940,
2007-08-23,4.28240,
2007-08-24,4.30715,
2007-08-25,.,No value available
2007-08-26,.,No value available
2007-08-27,4.29835,
2007-08-28,4.28450,
2007-08-29,4.29435,
2007-08-30,4.28475,
2007-08-31,4.27420,
2007-09-01,.,No value available
2007-09-02,.,No value available
2007-09-03,4.27800,
2007-09-04,4.27925,
2007-09-05,4.29675,
2007-09-06,4.30210,
2007-09-07,4.32700,
2007-09-08,.,No value available
2007-09-09,.,No value available
2007-09-10,4.33195,
2007-09-11,4.32385,
2007-09-12,4.33435,
2007-09-13,4.32225,
2007-09-14,4.32190,
2007-09-15,.,No value available
2007-09-16,.,No value available
2007-09-17,4.31755,
2007-09-18,4.32765,
2007-09-19,4.34310,
2007-09-20,4.38870,
2007-09-21,4.39860,
2007-09-22,.,No value available
2007-09-23,.,No value available
2007-09-24,4.40235,
2007-09-25,4.42365,
2007-09-26,4.41970,
2007-09-27,4.42845,
2007-09-28,4.46415,
2007-09-29,.,No value available
2007-09-30,.,No value available
2007-10-01,4.45460,
2007-10-02,4.42565,
2007-10-03,4.42020,
2007-10-04,4.42990,
2007-10-05,4.43290,
2007-10-06,.,No value available
2007-10-07,.,No value available
2007-10-08,4.40735,
2007-10-09,4.43115,
2007-10-10,4.43260,
2007-10-11,4.45890,
2007-10-12,4.44720,
2007-10-13,.,No value available
2007-10-14,.,No value available
2007-10-15,.,No value available
2007-10-16,4.44670,
2007-10-17,4.44685,
2007-10-18,4.48915,
2007-10-19,4.48330,
2007-10-20,.,No value available
2007-10-21,.,No value available
2007-10-22,4.45725,
2007-10-23,4.49065,
2007-10-24,4.49700,
2007-10-25,4.52350,
2007-10-26,4.53285,
2007-10-27,.,No value available
2007-10-28,.,No value available
2007-10-29,4.52465,
2007-10-30,4.51420,
2007-10-31,4.51580,
2007-11-01,4.49700,
2007-11-02,4.51470,
2007-11-03,.,No value available
2007-11-04,.,No value available
2007-11-05,4.50530,
2007-11-06,.,No value available
2007-11-07,4.55135,
2007-11-08,4.56440,
2007-11-09,4.56260,
2007-11-10,.,No value available
2007-11-11,.,No value available
2007-11-12,4.52565,
2007-11-13,4.54585,
2007-11-14,4.55990,
2007-11-15,4.54070,
2007-11-16,4.56300,
2007-11-17,.,No value available
2007-11-18,.,No value available
2007-11-19,4.55940,
2007-11-20,4.60030,
2007-11-21,4.62625,
2007-11-22,4.63265,
2007-11-23,4.63095,
2007-11-24,.,No value available
2007-11-25,.,No value available
2007-11-26,4.63845,
2007-11-27,4.63695,
2007-11-28,4.62075,
2007-11-29,4.61425,
2007-11-30,4.59295,
2007-12-01,.,No value available
2007-12-02,.,No value available
2007-12-03,4.57450,
2007-12-04,4.59845,
2007-12-05,4.56450,
2007-12-06,4.55750,
2007-12-07,4.57050,
2007-12-08,.,No value available
2007-12-09,.,No value available
2007-12-10,4.59110,
2007-12-11,4.58605,
2007-12-12,4.58165,
2007-12-13,4.56110,
2007-12-14,4.51015,
2007-12-15,.,No value available
