"",BBEX3.D.TWD.USD.CA.AA.000,BBEX3.D.TWD.USD.CA.AA.000_FLAGS
1986-12-16,.,No value available
1986-12-17,.,No value available
1986-12-18,.,No value available
1986-12-19,.,No value available
1986-12-20,.,No value available
1986-12-21,.,No value available
1986-12-22,.,No value available
1986-12-23,.,No value available
1986-12-24,.,No value available
1986-12-25,.,No value available
1986-12-26,.,No value available
1986-12-27,.,No value available
1986-12-28,.,No value available
1986-12-29,.,No value available
1986-12-30,.,No value available
1986-12-31,35.450,
1987-01-01,.,No value available
1987-01-02,.,No value available
1987-01-03,.,No value available
1987-01-04,.,No value available
1987-01-05,.,No value available
1987-01-06,.,No value available
1987-01-07,.,No value available
1987-01-08,.,No value available
1987-01-09,.,No value available
1987-01-10,.,No value available
1987-01-11,.,No value available
1987-01-12,.,No value available
1987-01-13,.,No value available
1987-01-14,.,No value available
1987-01-15,35.240,
1987-01-16,.,No value available
1987-01-17,.,No value available
1987-01-18,.,No value available
1987-01-19,.,No value available
1987-01-20,.,No value available
1987-01-21,.,No value available
1987-01-22,.,No value available
1987-01-23,.,No value available
1987-01-24,.,No value available
1987-01-25,.,No value available
1987-01-26,.,No value available
1987-01-27,.,No value available
1987-01-28,35.010,
1987-01-29,.,No value available
1987-01-30,.,No value available
1987-01-31,.,No value available
1987-02-01,.,No value available
1987-02-02,.,No value available
1987-02-03,.,No value available
1987-02-04,.,No value available
1987-02-05,.,No value available
1987-02-06,.,No value available
1987-02-07,.,No value available
1987-02-08,.,No value available
1987-02-09,.,No value available
1987-02-10,.,No value available
1987-02-11,.,No value available
1987-02-12,.,No value available
1987-02-13,.,No value available
1987-02-14,34.920,
1987-02-15,.,No value available
1987-02-16,.,No value available
1987-02-17,.,No value available
1987-02-18,.,No value available
1987-02-19,.,No value available
1987-02-20,.,No value available
1987-02-21,.,No value available
1987-02-22,.,No value available
1987-02-23,.,No value available
1987-02-24,.,No value available
1987-02-25,.,No value available
1987-02-26,.,No value available
1987-02-27,.,No value available
1987-02-28,34.940,
1987-03-01,.,No value available
1987-03-02,.,No value available
1987-03-03,.,No value available
1987-03-04,.,No value available
1987-03-05,.,No value available
1987-03-06,.,No value available
1987-03-07,.,No value available
1987-03-08,.,No value available
1987-03-09,.,No value available
1987-03-10,.,No value available
1987-03-11,.,No value available
1987-03-12,.,No value available
1987-03-13,.,No value available
1987-03-14,34.580,
1987-03-15,.,No value available
1987-03-16,.,No value available
1987-03-17,.,No value available
1987-03-18,.,No value available
1987-03-19,.,No value available
1987-03-20,.,No value available
1987-03-21,.,No value available
1987-03-22,.,No value available
1987-03-23,.,No value available
1987-03-24,.,No value available
1987-03-25,.,No value available
1987-03-26,.,No value available
1987-03-27,.,No value available
1987-03-28,.,No value available
1987-03-29,.,No value available
1987-03-30,.,No value available
1987-03-31,34.210,
1987-04-01,.,No value available
1987-04-02,.,No value available
1987-04-03,.,No value available
1987-04-04,.,No value available
1987-04-05,.,No value available
1987-04-06,.,No value available
1987-04-07,.,No value available
1987-04-08,.,No value available
1987-04-09,.,No value available
1987-04-10,.,No value available
1987-04-11,.,No value available
1987-04-12,.,No value available
1987-04-13,.,No value available
1987-04-14,.,No value available
1987-04-15,33.920,
1987-04-16,.,No value available
1987-04-17,.,No value available
1987-04-18,.,No value available
1987-04-19,.,No value available
1987-04-20,.,No value available
1987-04-21,.,No value available
1987-04-22,.,No value available
1987-04-23,.,No value available
1987-04-24,.,No value available
1987-04-25,.,No value available
1987-04-26,.,No value available
1987-04-27,.,No value available
1987-04-28,.,No value available
1987-04-29,.,No value available
1987-04-30,32.970,
1987-05-01,.,No value available
1987-05-02,.,No value available
1987-05-03,.,No value available
1987-05-04,.,No value available
1987-05-05,.,No value available
1987-05-06,.,No value available
1987-05-07,.,No value available
1987-05-08,.,No value available
1987-05-09,.,No value available
1987-05-10,.,No value available
1987-05-11,.,No value available
1987-05-12,.,No value available
1987-05-13,.,No value available
1987-05-14,.,No value available
1987-05-15,32.340,
1987-05-16,.,No value available
1987-05-17,.,No value available
1987-05-18,.,No value available
1987-05-19,.,No value available
1987-05-20,.,No value available
1987-05-21,.,No value available
1987-05-22,.,No value available
1987-05-23,.,No value available
1987-05-24,.,No value available
1987-05-25,.,No value available
1987-05-26,.,No value available
1987-05-27,.,No value available
1987-05-28,.,No value available
1987-05-29,.,No value available
1987-05-30,31.440,
1987-05-31,.,No value available
1987-06-01,.,No value available
1987-06-02,.,No value available
1987-06-03,.,No value available
1987-06-04,.,No value available
1987-06-05,.,No value available
1987-06-06,.,No value available
1987-06-07,.,No value available
1987-06-08,.,No value available
1987-06-09,.,No value available
1987-06-10,.,No value available
1987-06-11,.,No value available
1987-06-12,.,No value available
1987-06-13,.,No value available
1987-06-14,.,No value available
1987-06-15,31.040,
1987-06-16,.,No value available
1987-06-17,.,No value available
1987-06-18,.,No value available
1987-06-19,.,No value available
1987-06-20,.,No value available
1987-06-21,.,No value available
1987-06-22,.,No value available
1987-06-23,.,No value available
1987-06-24,.,No value available
1987-06-25,.,No value available
1987-06-26,.,No value available
1987-06-27,.,No value available
1987-06-28,.,No value available
1987-06-29,.,No value available
1987-06-30,31.030,
1987-07-01,.,No value available
1987-07-02,.,No value available
1987-07-03,.,No value available
1987-07-04,.,No value available
1987-07-05,.,No value available
1987-07-06,.,No value available
1987-07-07,.,No value available
1987-07-08,.,No value available
1987-07-09,.,No value available
1987-07-10,.,No value available
1987-07-11,.,No value available
1987-07-12,.,No value available
1987-07-13,.,No value available
1987-07-14,.,No value available
1987-07-15,31.030,
1987-07-16,.,No value available
1987-07-17,.,No value available
1987-07-18,.,No value available
1987-07-19,.,No value available
1987-07-20,.,No value available
1987-07-21,.,No value available
1987-07-22,.,No value available
1987-07-23,.,No value available
1987-07-24,.,No value available
1987-07-25,.,No value available
1987-07-26,.,No value available
1987-07-27,.,No value available
1987-07-28,.,No value available
1987-07-29,.,No value available
1987-07-30,.,No value available
1987-07-31,30.830,
1987-08-01,.,No value available
1987-08-02,.,No value available
1987-08-03,.,No value available
1987-08-04,.,No value available
1987-08-05,.,No value available
1987-08-06,.,No value available
1987-08-07,.,No value available
1987-08-08,.,No value available
1987-08-09,.,No value available
1987-08-10,.,No value available
1987-08-11,.,No value available
1987-08-12,.,No value available
1987-08-13,.,No value available
1987-08-14,.,No value available
1987-08-15,30.080,
1987-08-16,.,No value available
1987-08-17,.,No value available
1987-08-18,.,No value available
1987-08-19,.,No value available
1987-08-20,.,No value available
1987-08-21,.,No value available
1987-08-22,.,No value available
1987-08-23,.,No value available
1987-08-24,.,No value available
1987-08-25,.,No value available
1987-08-26,.,No value available
1987-08-27,.,No value available
1987-08-28,.,No value available
1987-08-29,.,No value available
1987-08-30,.,No value available
1987-08-31,30.060,
1987-09-01,.,No value available
1987-09-02,.,No value available
1987-09-03,.,No value available
1987-09-04,.,No value available
1987-09-05,.,No value available
1987-09-06,.,No value available
1987-09-07,.,No value available
1987-09-08,.,No value available
1987-09-09,.,No value available
1987-09-10,.,No value available
1987-09-11,.,No value available
1987-09-12,.,No value available
1987-09-13,.,No value available
1987-09-14,.,No value available
1987-09-15,30.040,
1987-09-16,.,No value available
1987-09-17,.,No value available
1987-09-18,.,No value available
1987-09-19,.,No value available
1987-09-20,.,No value available
1987-09-21,.,No value available
1987-09-22,.,No value available
1987-09-23,.,No value available
1987-09-24,.,No value available
1987-09-25,.,No value available
1987-09-26,.,No value available
1987-09-27,.,No value available
1987-09-28,.,No value available
1987-09-29,.,No value available
1987-09-30,30.040,
1987-10-01,.,No value available
1987-10-02,.,No value available
1987-10-03,.,No value available
1987-10-04,.,No value available
1987-10-05,.,No value available
1987-10-06,.,No value available
1987-10-07,.,No value available
1987-10-08,.,No value available
1987-10-09,.,No value available
1987-10-10,.,No value available
1987-10-11,.,No value available
1987-10-12,.,No value available
1987-10-13,.,No value available
1987-10-14,.,No value available
1987-10-15,29.930,
1987-10-16,.,No value available
1987-10-17,.,No value available
1987-10-18,.,No value available
1987-10-19,.,No value available
1987-10-20,.,No value available
1987-10-21,.,No value available
1987-10-22,.,No value available
1987-10-23,.,No value available
1987-10-24,.,No value available
1987-10-25,.,No value available
1987-10-26,.,No value available
1987-10-27,.,No value available
1987-10-28,.,No value available
1987-10-29,.,No value available
1987-10-30,29.910,
1987-10-31,.,No value available
1987-11-01,.,No value available
1987-11-02,.,No value available
1987-11-03,.,No value available
1987-11-04,.,No value available
1987-11-05,.,No value available
1987-11-06,.,No value available
1987-11-07,.,No value available
1987-11-08,.,No value available
1987-11-09,.,No value available
1987-11-10,.,No value available
1987-11-11,.,No value available
1987-11-12,.,No value available
1987-11-13,.,No value available
1987-11-14,29.730,
1987-11-15,.,No value available
1987-11-16,.,No value available
1987-11-17,.,No value available
1987-11-18,.,No value available
1987-11-19,.,No value available
1987-11-20,.,No value available
1987-11-21,.,No value available
1987-11-22,.,No value available
1987-11-23,.,No value available
1987-11-24,.,No value available
1987-11-25,.,No value available
1987-11-26,.,No value available
1987-11-27,.,No value available
1987-11-28,.,No value available
1987-11-29,.,No value available
1987-11-30,29.410,
1987-12-01,.,No value available
1987-12-02,.,No value available
1987-12-03,.,No value available
1987-12-04,.,No value available
1987-12-05,.,No value available
1987-12-06,.,No value available
1987-12-07,.,No value available
1987-12-08,.,No value available
1987-12-09,.,No value available
1987-12-10,.,No value available
1987-12-11,.,No value available
1987-12-12,.,No value available
1987-12-13,.,No value available
1987-12-14,.,No value available
1987-12-15,28.790,
1987-12-16,.,No value available
1987-12-17,.,No value available
1987-12-18,.,No value available
1987-12-19,.,No value available
1987-12-20,.,No value available
1987-12-21,.,No value available
