"",BBEX3.D.ISK.EUR.CA.AA.000,BBEX3.D.ISK.EUR.CA.AA.000_FLAGS
2014-01-20,156.98,
2014-01-21,156.55,
2014-01-22,156.60,
2014-01-23,156.77,
2014-01-24,156.59,
2014-01-25,.,No value available
2014-01-26,.,No value available
2014-01-27,156.59,
2014-01-28,156.27,
2014-01-29,156.79,
2014-01-30,156.61,
2014-01-31,156.46,
2014-02-01,.,No value available
2014-02-02,.,No value available
2014-02-03,156.01,
2014-02-04,155.96,
2014-02-05,156.03,
2014-02-06,156.10,
2014-02-07,156.04,
2014-02-08,.,No value available
2014-02-09,.,No value available
2014-02-10,156.17,
2014-02-11,155.95,
2014-02-12,155.51,
2014-02-13,154.89,
2014-02-14,154.92,
2014-02-15,.,No value available
2014-02-16,.,No value available
2014-02-17,154.86,
2014-02-18,155.05,
2014-02-19,155.11,
2014-02-20,155.23,
2014-02-21,155.27,
2014-02-22,.,No value available
2014-02-23,.,No value available
2014-02-24,155.30,
2014-02-25,155.45,
2014-02-26,155.19,
2014-02-27,154.86,
2014-02-28,154.78,
2014-03-01,.,No value available
2014-03-02,.,No value available
2014-03-03,154.49,
2014-03-04,154.68,
2014-03-05,154.42,
2014-03-06,154.45,
2014-03-07,154.89,
2014-03-08,.,No value available
2014-03-09,.,No value available
2014-03-10,155.06,
2014-03-11,155.36,
2014-03-12,155.97,
2014-03-13,156.11,
2014-03-14,155.92,
2014-03-15,.,No value available
2014-03-16,.,No value available
2014-03-17,155.86,
2014-03-18,156.60,
2014-03-19,156.97,
2014-03-20,156.56,
2014-03-21,156.55,
2014-03-22,.,No value available
2014-03-23,.,No value available
2014-03-24,156.18,
2014-03-25,156.61,
2014-03-26,156.11,
2014-03-27,155.08,
2014-03-28,154.79,
2014-03-29,.,No value available
2014-03-30,.,No value available
2014-03-31,154.98,
2014-04-01,155.11,
2014-04-02,154.82,
2014-04-03,154.87,
2014-04-04,154.79,
2014-04-05,.,No value available
2014-04-06,.,No value available
2014-04-07,154.85,
2014-04-08,154.53,
2014-04-09,154.54,
2014-04-10,154.85,
2014-04-11,154.67,
2014-04-12,.,No value available
2014-04-13,.,No value available
2014-04-14,154.64,
2014-04-15,154.60,
2014-04-16,154.47,
2014-04-17,.,No value available
2014-04-18,.,No value available
2014-04-19,.,No value available
2014-04-20,.,No value available
2014-04-21,.,No value available
2014-04-22,154.49,
2014-04-23,154.56,
2014-04-24,.,No value available
2014-04-25,154.98,
2014-04-26,.,No value available
2014-04-27,.,No value available
2014-04-28,155.07,
2014-04-29,154.87,
2014-04-30,154.84,
2014-05-01,.,No value available
2014-05-02,154.67,
2014-05-03,.,No value available
2014-05-04,.,No value available
2014-05-05,154.68,
2014-05-06,155.29,
2014-05-07,155.34,
2014-05-08,155.35,
2014-05-09,155.37,
2014-05-10,.,No value available
2014-05-11,.,No value available
2014-05-12,155.32,
2014-05-13,155.17,
2014-05-14,154.97,
2014-05-15,154.00,
2014-05-16,153.82,
2014-05-17,.,No value available
2014-05-18,.,No value available
2014-05-19,153.97,
2014-05-20,153.92,
2014-05-21,153.92,
2014-05-22,153.77,
2014-05-23,153.59,
2014-05-24,.,No value available
2014-05-25,.,No value available
2014-05-26,154.04,
2014-05-27,153.97,
2014-05-28,153.47,
2014-05-29,.,No value available
2014-05-30,153.35,
2014-05-31,.,No value available
2014-06-01,.,No value available
2014-06-02,153.87,
2014-06-03,153.82,
2014-06-04,153.90,
2014-06-05,153.84,
2014-06-06,153.79,
2014-06-07,.,No value available
2014-06-08,.,No value available
2014-06-09,.,No value available
2014-06-10,153.92,
2014-06-11,154.32,
2014-06-12,154.32,
2014-06-13,154.34,
2014-06-14,.,No value available
2014-06-15,.,No value available
2014-06-16,154.14,
2014-06-17,.,No value available
2014-06-18,154.32,
2014-06-19,154.64,
2014-06-20,154.40,
2014-06-21,.,No value available
2014-06-22,.,No value available
2014-06-23,154.32,
2014-06-24,154.59,
2014-06-25,154.42,
2014-06-26,153.94,
2014-06-27,153.85,
2014-06-28,.,No value available
2014-06-29,.,No value available
2014-06-30,153.64,
2014-07-01,153.77,
2014-07-02,153.77,
2014-07-03,153.75,
2014-07-04,153.72,
2014-07-05,.,No value available
2014-07-06,.,No value available
2014-07-07,153.57,
2014-07-08,154.62,
2014-07-09,154.84,
2014-07-10,154.82,
2014-07-11,154.54,
2014-07-12,.,No value available
2014-07-13,.,No value available
2014-07-14,154.87,
2014-07-15,154.85,
2014-07-16,154.47,
2014-07-17,154.40,
2014-07-18,154.47,
2014-07-19,.,No value available
2014-07-20,.,No value available
2014-07-21,154.50,
2014-07-22,154.57,
2014-07-23,154.70,
2014-07-24,154.90,
2014-07-25,154.37,
2014-07-26,.,No value available
2014-07-27,.,No value available
2014-07-28,154.34,
2014-07-29,153.95,
2014-07-30,153.84,
2014-07-31,153.75,
2014-08-01,153.95,
2014-08-02,.,No value available
2014-08-03,.,No value available
2014-08-04,.,No value available
2014-08-05,153.62,
2014-08-06,153.60,
2014-08-07,153.95,
2014-08-08,154.30,
2014-08-09,.,No value available
2014-08-10,.,No value available
2014-08-11,154.57,
2014-08-12,154.47,
2014-08-13,154.50,
2014-08-14,154.65,
2014-08-15,154.30,
2014-08-16,.,No value available
2014-08-17,.,No value available
2014-08-18,154.37,
2014-08-19,154.30,
2014-08-20,154.10,
2014-08-21,154.02,
2014-08-22,153.67,
2014-08-23,.,No value available
2014-08-24,.,No value available
2014-08-25,153.50,
2014-08-26,153.44,
2014-08-27,153.62,
2014-08-28,153.52,
2014-08-29,153.34,
2014-08-30,.,No value available
2014-08-31,.,No value available
2014-09-01,153.32,
2014-09-02,153.52,
2014-09-03,153.52,
2014-09-04,153.59,
2014-09-05,153.12,
2014-09-06,.,No value available
2014-09-07,.,No value available
2014-09-08,152.99,
2014-09-09,153.02,
2014-09-10,152.97,
2014-09-11,153.62,
2014-09-12,153.64,
2014-09-13,.,No value available
2014-09-14,.,No value available
2014-09-15,153.25,
2014-09-16,153.22,
2014-09-17,153.24,
2014-09-18,153.49,
2014-09-19,153.37,
2014-09-20,.,No value available
2014-09-21,.,No value available
2014-09-22,153.57,
2014-09-23,153.59,
2014-09-24,153.37,
2014-09-25,152.45,
2014-09-26,152.47,
2014-09-27,.,No value available
2014-09-28,.,No value available
2014-09-29,152.39,
2014-09-30,152.27,
2014-10-01,152.12,
2014-10-02,152.29,
2014-10-03,152.34,
2014-10-04,.,No value available
2014-10-05,.,No value available
2014-10-06,151.76,
2014-10-07,151.88,
2014-10-08,151.85,
2014-10-09,152.29,
2014-10-10,152.49,
2014-10-11,.,No value available
2014-10-12,.,No value available
2014-10-13,153.02,
2014-10-14,152.65,
2014-10-15,152.45,
2014-10-16,153.04,
2014-10-17,152.89,
2014-10-18,.,No value available
2014-10-19,.,No value available
2014-10-20,152.92,
2014-10-21,152.89,
2014-10-22,152.67,
2014-10-23,152.79,
2014-10-24,152.79,
2014-10-25,.,No value available
2014-10-26,.,No value available
2014-10-27,153.07,
2014-10-28,153.37,
2014-10-29,153.57,
2014-10-30,153.05,
2014-10-31,152.70,
2014-11-01,.,No value available
2014-11-02,.,No value available
2014-11-03,152.69,
2014-11-04,152.97,
2014-11-05,153.07,
2014-11-06,153.90,
2014-11-07,153.52,
2014-11-08,.,No value available
2014-11-09,.,No value available
2014-11-10,153.75,
2014-11-11,153.95,
2014-11-12,153.97,
2014-11-13,154.15,
2014-11-14,154.54,
2014-11-15,.,No value available
2014-11-16,.,No value available
2014-11-17,154.37,
2014-11-18,154.14,
2014-11-19,154.17,
2014-11-20,153.85,
2014-11-21,153.22,
2014-11-22,.,No value available
2014-11-23,.,No value available
2014-11-24,153.64,
2014-11-25,153.89,
2014-11-26,153.62,
2014-11-27,153.67,
2014-11-28,153.65,
2014-11-29,.,No value available
2014-11-30,.,No value available
2014-12-01,153.57,
2014-12-02,153.40,
2014-12-03,153.04,
2014-12-04,153.07,
2014-12-05,152.85,
2014-12-06,.,No value available
2014-12-07,.,No value available
2014-12-08,153.09,
2014-12-09,153.20,
2014-12-10,153.19,
2014-12-11,153.34,
2014-12-12,153.44,
2014-12-13,.,No value available
2014-12-14,.,No value available
2014-12-15,153.52,
2014-12-16,153.72,
2014-12-17,154.65,
2014-12-18,154.62,
2014-12-19,154.77,
2014-12-20,.,No value available
2014-12-21,.,No value available
2014-12-22,154.62,
2014-12-23,154.32,
2014-12-24,.,No value available
2014-12-25,.,No value available
2014-12-26,.,No value available
2014-12-27,.,No value available
2014-12-28,.,No value available
2014-12-29,154.29,
2014-12-30,154.12,
2014-12-31,153.84,
2015-01-01,.,No value available
2015-01-02,153.84,
2015-01-03,.,No value available
2015-01-04,.,No value available
2015-01-05,153.64,
2015-01-06,153.67,
2015-01-07,153.82,
2015-01-08,153.42,
2015-01-09,153.40,
2015-01-10,.,No value available
2015-01-11,.,No value available
2015-01-12,153.45,
2015-01-13,153.45,
2015-01-14,153.02,
2015-01-15,152.92,
2015-01-16,152.59,
2015-01-17,.,No value available
2015-01-18,.,No value available
2015-01-19,152.47,
2015-01-20,152.49,
2015-01-21,152.32,
2015-01-22,152.72,
2015-01-23,151.18,
2015-01-24,.,No value available
2015-01-25,.,No value available
2015-01-26,151.13,
2015-01-27,150.95,
2015-01-28,150.58,
2015-01-29,150.53,
2015-01-30,150.36,
2015-01-31,.,No value available
2015-02-01,.,No value available
2015-02-02,150.31,
2015-02-03,150.11,
2015-02-04,149.98,
2015-02-05,149.76,
2015-02-06,149.75,
2015-02-07,.,No value available
2015-02-08,.,No value available
2015-02-09,149.41,
2015-02-10,149.40,
2015-02-11,149.36,
2015-02-12,149.43,
2015-02-13,149.35,
2015-02-14,.,No value available
2015-02-15,.,No value available
2015-02-16,149.48,
2015-02-17,149.61,
2015-02-18,149.63,
2015-02-19,149.51,
2015-02-20,149.55,
2015-02-21,.,No value available
2015-02-22,.,No value available
2015-02-23,149.41,
2015-02-24,149.53,
2015-02-25,149.46,
2015-02-26,149.20,
2015-02-27,148.88,
"","General: Until 2007 mid-month and month-end rates, from 2008 daily exchange rates. Collapse of banking system and introduction of capital controls in October 2008, see Deutsche Bundesbank, Monthly Report, July 2010, pp 52-53. www.bundesbank.de/Redaktion/EN/Downloads/Publications/Monthly_Report/2010/2010_07_monthly_report.pdf?__blob=publicationFile",
"","Source: Sedlabanki Islands, Reykjavik.",
