"",BBEX3.D.PEN.EUR.CA.AB.000,BBEX3.D.PEN.EUR.CA.AB.000_FLAGS
2014-11-11,.,No value available
2014-11-12,.,No value available
2014-11-13,.,No value available
2014-11-14,3.704,
2014-11-15,.,No value available
2014-11-16,.,No value available
2014-11-17,.,No value available
2014-11-18,.,No value available
2014-11-19,.,No value available
2014-11-20,.,No value available
2014-11-21,3.805,
2014-11-22,.,No value available
2014-11-23,.,No value available
2014-11-24,.,No value available
2014-11-25,.,No value available
2014-11-26,.,No value available
2014-11-27,.,No value available
2014-11-28,3.716,
2014-11-29,.,No value available
2014-11-30,.,No value available
2014-12-01,.,No value available
2014-12-02,.,No value available
2014-12-03,.,No value available
2014-12-04,.,No value available
2014-12-05,3.771,
2014-12-06,.,No value available
2014-12-07,.,No value available
2014-12-08,.,No value available
2014-12-09,.,No value available
2014-12-10,.,No value available
2014-12-11,.,No value available
2014-12-12,.,No value available
2014-12-13,.,No value available
2014-12-14,.,No value available
2014-12-15,3.818,
2014-12-16,.,No value available
2014-12-17,.,No value available
2014-12-18,.,No value available
2014-12-19,3.730,
2014-12-20,.,No value available
2014-12-21,.,No value available
2014-12-22,.,No value available
2014-12-23,.,No value available
2014-12-24,.,No value available
2014-12-25,.,No value available
2014-12-26,3.749,
2014-12-27,.,No value available
2014-12-28,.,No value available
2014-12-29,.,No value available
2014-12-30,.,No value available
2014-12-31,3.766,
2015-01-01,.,No value available
2015-01-02,.,No value available
2015-01-03,.,No value available
2015-01-04,.,No value available
2015-01-05,3.678,
2015-01-06,.,No value available
2015-01-07,.,No value available
2015-01-08,.,No value available
2015-01-09,3.676,
2015-01-10,.,No value available
2015-01-11,.,No value available
2015-01-12,.,No value available
2015-01-13,.,No value available
2015-01-14,.,No value available
2015-01-15,3.630,
2015-01-16,.,No value available
2015-01-17,.,No value available
2015-01-18,.,No value available
2015-01-19,.,No value available
2015-01-20,.,No value available
2015-01-21,.,No value available
2015-01-22,.,No value available
2015-01-23,3.583,
2015-01-24,.,No value available
2015-01-25,.,No value available
2015-01-26,.,No value available
2015-01-27,.,No value available
2015-01-28,.,No value available
2015-01-29,.,No value available
2015-01-30,3.597,
2015-01-31,.,No value available
2015-02-01,.,No value available
2015-02-02,.,No value available
2015-02-03,.,No value available
2015-02-04,.,No value available
2015-02-05,.,No value available
2015-02-06,3.518,
2015-02-07,.,No value available
2015-02-08,.,No value available
2015-02-09,.,No value available
2015-02-10,.,No value available
2015-02-11,.,No value available
2015-02-12,.,No value available
2015-02-13,.,No value available
2015-02-14,.,No value available
2015-02-15,.,No value available
2015-02-16,3.712,
2015-02-17,.,No value available
2015-02-18,.,No value available
2015-02-19,.,No value available
2015-02-20,3.685,
"","Source: Superintendencia de Banca, Seguros y AFP, Lima",
