"",BBEX3.D.HRK.USD.CA.AC.000,BBEX3.D.HRK.USD.CA.AC.000_FLAGS
2001-12-08,8.2856825,
2001-12-09,.,No value available
2001-12-10,.,No value available
2001-12-11,8.3248900,
2001-12-12,8.2996520,
2001-12-13,8.2596775,
2001-12-14,8.2144050,
2001-12-15,8.1815655,
2001-12-16,.,No value available
2001-12-17,.,No value available
2001-12-18,8.1220370,
2001-12-19,8.1937670,
2001-12-20,8.2348680,
2001-12-21,8.2348680,
2001-12-22,8.2403795,
2001-12-23,.,No value available
2001-12-24,.,No value available
2001-12-25,8.3323940,
2001-12-26,.,No value available
2001-12-27,.,No value available
2001-12-28,8.3826365,
2001-12-29,8.3908910,
2001-12-30,.,No value available
2001-12-31,.,No value available
2002-01-01,.,No value available
2002-01-02,8.3521635,
2002-01-03,8.2145845,
2002-01-04,8.2003990,
2002-01-05,8.2691875,
2002-01-06,.,No value available
2002-01-07,.,No value available
2002-01-08,8.3156245,
2002-01-09,8.3830150,
2002-01-10,8.3828310,
2002-01-11,8.3865190,
2002-01-12,8.4127340,
2002-01-13,.,No value available
2002-01-14,.,No value available
2002-01-15,8.4155085,
2002-01-16,8.4240045,
2002-01-17,8.5357545,
2002-01-18,8.5511365,
2002-01-19,8.5518105,
2002-01-20,.,No value available
2002-01-21,.,No value available
2002-01-22,8.5199005,
2002-01-23,8.5379650,
2002-01-24,8.5214450,
2002-01-25,8.6088940,
2002-01-26,8.6959025,
2002-01-27,.,No value available
2002-01-28,.,No value available
2002-01-29,8.7596945,
2002-01-30,8.8001165,
2002-01-31,8.7827575,
2002-02-01,8.7920045,
2002-02-02,8.8089975,
2002-02-03,.,No value available
2002-02-04,.,No value available
2002-02-05,8.7763490,
2002-02-06,8.6704205,
2002-02-07,8.6868800,
2002-02-08,8.6833605,
2002-02-09,8.6011665,
2002-02-10,.,No value available
2002-02-11,.,No value available
2002-02-12,8.5584045,
2002-02-13,8.5500800,
2002-02-14,8.5427135,
2002-02-15,8.5858585,
2002-02-16,8.5640435,
2002-02-17,.,No value available
2002-02-18,.,No value available
2002-02-19,8.5224665,
2002-02-20,8.5548265,
2002-02-21,8.4932600,
2002-02-22,8.5391065,
2002-02-23,8.5784880,
2002-02-24,.,No value available
2002-02-25,.,No value available
2002-02-26,8.5420240,
2002-02-27,8.5978835,
2002-02-28,8.6457730,
2002-03-01,8.6097310,
2002-03-02,8.5686300,
2002-03-03,.,No value available
2002-03-04,.,No value available
2002-03-05,8.6023375,
2002-03-06,8.5424820,
2002-03-07,8.5055095,
2002-03-08,8.4368945,
2002-03-09,8.4224905,
2002-03-10,.,No value available
2002-03-11,.,No value available
2002-03-12,8.4428945,
2002-03-13,8.4546600,
2002-03-14,8.4027385,
2002-03-15,8.3342780,
2002-03-16,8.3060420,
2002-03-17,.,No value available
2002-03-18,.,No value available
2002-03-19,8.3891855,
2002-03-20,8.3682720,
2002-03-21,8.3939530,
2002-03-22,8.3550175,
2002-03-23,8.4128610,
2002-03-24,.,No value available
2002-03-25,.,No value available
2002-03-26,8.4587325,
2002-03-27,8.4867895,
2002-03-28,8.4751570,
2002-03-29,8.5237055,
2002-03-30,8.5197935,
2002-03-31,.,No value available
2002-04-01,.,No value available
2002-04-02,.,No value available
2002-04-03,8.4462150,
2002-04-04,8.4442925,
2002-04-05,8.4136525,
2002-04-06,8.4215325,
2002-04-07,.,No value available
2002-04-08,.,No value available
2002-04-09,8.4264535,
2002-04-10,8.4408910,
2002-04-11,8.3977270,
2002-04-12,8.3986815,
2002-04-13,8.3929585,
2002-04-14,.,No value available
2002-04-15,.,No value available
2002-04-16,8.3863275,
2002-04-17,8.3910920,
2002-04-18,8.3089230,
2002-04-19,8.2958380,
2002-04-20,8.2753590,
2002-04-21,.,No value available
2002-04-22,.,No value available
2002-04-23,8.2939725,
2002-04-24,8.3126690,
2002-04-25,8.2902430,
2002-04-26,8.2339835,
2002-04-27,8.2647485,
2002-04-28,.,No value available
2002-04-29,.,No value available
2002-04-30,8.2086330,
2002-05-01,.,No value available
2002-05-02,8.2295825,
2002-05-03,8.1842285,
2002-05-04,8.1733955,
2002-05-05,.,No value available
2002-05-06,.,No value available
2002-05-07,8.0859885,
2002-05-08,8.0828510,
2002-05-09,8.1272670,
2002-05-10,8.1622515,
2002-05-11,8.1049980,
2002-05-12,.,No value available
2002-05-13,.,No value available
2002-05-14,8.0766710,
2002-05-15,8.1338920,
2002-05-16,8.1263800,
2002-05-17,8.0853285,
2002-05-18,8.0534895,
2002-05-19,.,No value available
2002-05-20,.,No value available
2002-05-21,8.0073880,
2002-05-22,8.0091280,
2002-05-23,7.9460915,
2002-05-24,7.9809665,
2002-05-25,8.0462275,
2002-05-26,.,No value available
2002-05-27,.,No value available
2002-05-28,8.0243295,
2002-05-29,7.9809875,
2002-05-30,.,No value available
2002-05-31,7.9465150,
2002-06-01,7.8844105,
2002-06-02,.,No value available
2002-06-03,.,No value available
2002-06-04,7.9231925,
2002-06-05,7.8259945,
2002-06-06,7.8640775,
2002-06-07,7.8314860,
2002-06-08,7.7873625,
2002-06-09,.,No value available
2002-06-10,.,No value available
2002-06-11,7.7763090,
2002-06-12,7.7721985,
2002-06-13,7.7541660,
2002-06-14,7.8115035,
2002-06-15,7.7485225,
2002-06-16,.,No value available
2002-06-17,.,No value available
2002-06-18,7.7887980,
2002-06-19,7.7506075,
2002-06-20,7.6695940,
2002-06-21,7.6587635,
2002-06-22,7.6071170,
2002-06-23,.,No value available
2002-06-24,.,No value available
2002-06-25,7.5128070,
2002-06-26,.,No value available
2002-06-27,7.4131140,
2002-06-28,7.4535390,
2002-06-29,7.3866035,
2002-06-30,.,No value available
2002-07-01,.,No value available
2002-07-02,7.3906690,
2002-07-03,7.4665920,
2002-07-04,7.4734530,
2002-07-05,7.5166580,
2002-07-06,7.5375205,
2002-07-07,.,No value available
2002-07-08,.,No value available
2002-07-09,7.4499950,
2002-07-10,7.4221905,
2002-07-11,7.4047955,
2002-07-12,7.4581430,
2002-07-13,7.4312020,
2002-07-14,.,No value available
2002-07-15,.,No value available
2002-07-16,7.3795180,
2002-07-17,7.2761410,
2002-07-18,7.3022015,
2002-07-19,7.3276290,
2002-07-20,7.2646625,
2002-07-21,.,No value available
2002-07-22,.,No value available
2002-07-23,7.2917700,
2002-07-24,7.4320245,
2002-07-25,7.4737060,
2002-07-26,7.4075560,
2002-07-27,7.4197740,
2002-07-28,.,No value available
2002-07-29,.,No value available
2002-07-30,7.4969700,
2002-07-31,7.5597235,
2002-08-01,7.5832480,
2002-08-02,7.6260915,
2002-08-03,7.5355335,
2002-08-04,.,No value available
2002-08-05,.,No value available
2002-08-06,.,No value available
2002-08-07,7.6545890,
2002-08-08,7.6557495,
2002-08-09,7.6332890,
2002-08-10,7.5976965,
2002-08-11,.,No value available
2002-08-12,.,No value available
2002-08-13,7.5656275,
2002-08-14,7.5362615,
2002-08-15,7.4623245,
2002-08-16,.,No value available
2002-08-17,7.5178320,
2002-08-18,.,No value available
2002-08-19,.,No value available
2002-08-20,7.4956735,
2002-08-21,7.5263210,
2002-08-22,7.5063715,
2002-08-23,7.5457985,
2002-08-24,7.6230355,
2002-08-25,.,No value available
2002-08-26,.,No value available
2002-08-27,7.5924210,
2002-08-28,7.5648520,
2002-08-29,7.5298380,
2002-08-30,7.4987320,
2002-08-31,7.5228425,
2002-09-01,.,No value available
2002-09-02,.,No value available
2002-09-03,7.5341075,
2002-09-04,7.4462715,
2002-09-05,7.4232510,
2002-09-06,7.3971915,
2002-09-07,7.4404760,
2002-09-08,.,No value available
2002-09-09,.,No value available
2002-09-10,7.5048440,
2002-09-11,7.5330125,
2002-09-12,7.5443725,
2002-09-13,7.5327805,
2002-09-14,7.4877775,
2002-09-15,.,No value available
2002-09-16,.,No value available
2002-09-17,7.5835570,
2002-09-18,7.6261680,
2002-09-19,7.5532245,
2002-09-20,7.4923485,
2002-09-21,7.4831870,
2002-09-22,.,No value available
2002-09-23,.,No value available
2002-09-24,7.4626565,
2002-09-25,7.5176580,
2002-09-26,7.4923485,
2002-09-27,7.5153250,
2002-09-28,7.5372660,
2002-09-29,.,No value available
2002-09-30,.,No value available
2002-10-01,7.4865295,
2002-10-02,7.4559805,
2002-10-03,7.5012715,
2002-10-04,7.4708920,
2002-10-05,7.4982255,
2002-10-06,.,No value available
2002-10-07,.,No value available
2002-10-08,7.5502910,
2002-10-09,.,No value available
2002-10-10,7.5535605,
2002-10-11,7.4888885,
2002-10-12,7.5303950,
2002-10-13,.,No value available
2002-10-14,.,No value available
2002-10-15,7.5204900,
2002-10-16,7.5684340,
2002-10-17,7.5894220,
2002-10-18,7.6318485,
2002-10-19,7.6656040,
2002-10-20,.,No value available
2002-10-21,.,No value available
2002-10-22,7.6574035,
2002-10-23,7.6605455,
2002-10-24,7.6712680,
2002-10-25,7.7091040,
2002-10-26,7.6832135,
2002-10-27,.,No value available
2002-10-28,.,No value available
2002-10-29,7.7052965,
2002-10-30,7.6402725,
2002-10-31,7.6527705,
2002-11-01,7.6127725,
2002-11-02,.,No value available
2002-11-03,.,No value available
2002-11-04,.,No value available
2002-11-05,7.5598955,
2002-11-06,7.4935145,
2002-11-07,7.5220795,
2002-11-08,7.4653645,
2002-11-09,7.4129060,
2002-11-10,.,No value available
2002-11-11,.,No value available
2002-11-12,7.3709740,
2002-11-13,7.3986655,
2002-11-14,7.4361585,
2002-11-15,7.4311905,
2002-11-16,7.4486895,
2002-11-17,.,No value available
2002-11-18,.,No value available
2002-11-19,7.4058565,
2002-11-20,7.3860935,
2002-11-21,7.4610190,
2002-11-22,7.4435850,
2002-11-23,7.4369015,
2002-11-24,.,No value available
2002-11-25,.,No value available
2002-11-26,7.5148690,
2002-11-27,7.5239705,
2002-11-28,7.5133540,
2002-11-29,7.5171335,
2002-11-30,7.5118340,
2002-12-01,.,No value available
2002-12-02,.,No value available
2002-12-03,7.5128620,
2002-12-04,7.4681510,
2002-12-05,7.4412790,
2002-12-06,7.4494695,
2002-12-07,7.3820170,
2002-12-08,.,No value available
2002-12-09,.,No value available
2002-12-10,7.3529410,
2002-12-11,7.3289900,
2002-12-12,7.3638795,
2002-12-13,7.3139480,
2002-12-14,7.2524680,
2002-12-15,.,No value available
2002-12-16,.,No value available
2002-12-17,7.2666730,
2002-12-18,7.1906190,
2002-12-19,7.2291505,
2002-12-20,7.2333170,
2002-12-21,7.2585365,
2002-12-22,.,No value available
2002-12-23,.,No value available
2002-12-24,7.2211975,
2002-12-25,7.2432405,
2002-12-26,.,No value available
2002-12-27,.,No value available
2002-12-28,7.1831595,
2002-12-29,.,No value available
2002-12-30,.,No value available
2002-12-31,7.1665705,
2003-01-01,.,No value available
2003-01-02,7.1180790,
2003-01-03,7.1330340,
2003-01-04,7.2219545,
2003-01-05,.,No value available
2003-01-06,.,No value available
2003-01-07,.,No value available
2003-01-08,7.2053030,
2003-01-09,7.2087655,
2003-01-10,7.1394575,
2003-01-11,7.1428570,
2003-01-12,.,No value available
2003-01-13,.,No value available
2003-01-14,7.1306500,
2003-01-15,7.0936055,
2003-01-16,7.1272450,
2003-01-17,7.0942110,
2003-01-18,7.0376275,
2003-01-19,.,No value available
2003-01-20,.,No value available
2003-01-21,7.0389485,
2003-01-22,7.0482095,
2003-01-23,7.0150440,
2003-01-24,6.9900480,
2003-01-25,6.9850550,
2003-01-26,.,No value available
2003-01-27,.,No value available
2003-01-28,6.9300590,
2003-01-29,6.9922815,
2003-01-30,6.9577980,
2003-01-31,7.0318070,
2003-02-01,6.9899415,
2003-02-02,.,No value available
2003-02-03,.,No value available
2003-02-04,7.0551280,
2003-02-05,6.9884005,
2003-02-06,6.9375370,
2003-02-07,7.0153535,
2003-02-08,7.0420580,
2003-02-09,.,No value available
2003-02-10,.,No value available
2003-02-11,7.0114625,
2003-02-12,7.0940890,
2003-02-13,7.0439550,
2003-02-14,7.0342910,
2003-02-15,7.0277780,
2003-02-16,.,No value available
2003-02-17,.,No value available
2003-02-18,7.0888205,
2003-02-19,7.0809250,
2003-02-20,7.0908415,
2003-02-21,7.0645610,
2003-02-22,7.0208640,
2003-02-23,.,No value available
2003-02-24,.,No value available
2003-02-25,7.0824030,
2003-02-26,7.0496205,
2003-02-27,7.0937150,
2003-02-28,7.0819065,
2003-03-01,7.0951585,
2003-03-02,.,No value available
2003-03-03,.,No value available
2003-03-04,7.0882735,
2003-03-05,7.0286735,
2003-03-06,6.9883195,
2003-03-07,7.0074660,
2003-03-08,6.9585525,
2003-03-09,.,No value available
2003-03-10,.,No value available
2003-03-11,6.9516175,
2003-03-12,6.9370310,
2003-03-13,6.9482225,
2003-03-14,7.0223690,
2003-03-15,7.0925930,
2003-03-16,.,No value available
2003-03-17,.,No value available
2003-03-18,7.0868035,
2003-03-19,7.1734390,
2003-03-20,7.2088865,
2003-03-21,7.2230070,
2003-03-22,7.2583085,
2003-03-23,.,No value available
2003-03-24,.,No value available
2003-03-25,7.2187795,
2003-03-26,7.2037940,
2003-03-27,7.2447160,
2003-03-28,7.1984900,
2003-03-29,7.2014115,
2003-03-30,.,No value available
2003-03-31,.,No value available
2003-04-01,7.1163870,
2003-04-02,7.0418655,
2003-04-03,7.0366605,
2003-04-04,7.0978140,
2003-04-05,7.0445855,
2003-04-06,.,No value available
2003-04-07,.,No value available
2003-04-08,7.1185320,
2003-04-09,7.0189790,
2003-04-10,6.9940475,
2003-04-11,6.9745875,
2003-04-12,7.0027880,
2003-04-13,.,No value available
2003-04-14,.,No value available
2003-04-15,7.0132165,
2003-04-16,7.0017660,
2003-04-17,6.9584295,
2003-04-18,6.8985255,
2003-04-19,6.9219815,
2003-04-20,.,No value available
2003-04-21,.,No value available
2003-04-22,.,No value available
2003-04-23,6.8585075,
2003-04-24,6.8832120,
2003-04-25,6.8494645,
2003-04-26,6.8769885,
2003-04-27,.,No value available
2003-04-28,.,No value available
2003-04-29,6.8767000,
2003-04-30,6.9209065,
2003-05-01,.,No value available
2003-05-02,6.8312650,
2003-05-03,6.7553145,
2003-05-04,.,No value available
2003-05-05,.,No value available
2003-05-06,6.7581535,
2003-05-07,6.6931425,
2003-05-08,6.6514645,
2003-05-09,6.6470795,
2003-05-10,6.5735665,
2003-05-11,.,No value available
2003-05-12,.,No value available
2003-05-13,6.5081215,
2003-05-14,6.5449805,
2003-05-15,6.5298665,
2003-05-16,6.5403050,
2003-05-17,6.5644415,
2003-05-18,.,No value available
2003-05-19,.,No value available
2003-05-20,6.4544635,
2003-05-21,6.4661105,
2003-05-22,6.4080115,
2003-05-23,6.4390370,
2003-05-24,6.3718840,
2003-05-25,.,No value available
2003-05-26,.,No value available
2003-05-27,6.3742915,
2003-05-28,6.3388275,
2003-05-29,6.4139570,
2003-05-30,6.4613220,
2003-05-31,6.4060260,
2003-06-01,.,No value available
2003-06-02,.,No value available
2003-06-03,6.4929335,
2003-06-04,6.4426840,
2003-06-05,6.4534035,
2003-06-06,6.4688755,
2003-06-07,6.3942470,
2003-06-08,.,No value available
2003-06-09,.,No value available
2003-06-10,6.4396590,
2003-06-11,6.4408880,
2003-06-12,6.4403380,
2003-06-13,6.4218815,
2003-06-14,6.3995420,
2003-06-15,.,No value available
2003-06-16,.,No value available
2003-06-17,6.3414330,
2003-06-18,6.3752010,
2003-06-19,6.4273525,
2003-06-20,.,No value available
2003-06-21,6.4438455,
2003-06-22,.,No value available
2003-06-23,.,No value available
2003-06-24,6.5238305,
2003-06-25,6.4980560,
2003-06-26,.,No value available
